"ANIO","MES","CONGLOMERADO","MUESTRA","SELVIV","HOGAR","ESTRATO","LLAVE_PANEL","CCDD","CODCIUDAD","AREA","C201","C203","C204","C205","C206","C207","C208","C300n","NROINF","C301_DIA","C301_MES","C301_ANIO","C303","C304","C305","C306_1","C306_2","C306_3","C306_4","C306_5","C306_6","C306_7","C306_8","C306_9","C306_10","C306_10A","C306_11","C306A","C308_COD","C309_COD","C310","C311","C312","C313","C317","C317A","C318_1","C318_2","C318_3","C318_4","C318_5","C318_6","C318_7","C318_T","C328_T","whoraT","C330","C331","C333","C334","P209H","C335","C338","C339_1","C341_T","C342","C344","C345_1","C347_T","C348","C350","C352","C353","C354","C355","C356","C357_I","C358","C359","SEGURO1","C361_1","C362_1","C361_2","C362_2","C361_3","C362_3","C361_4","C362_4","C361_5","C362_5","C361_6","C362_6","C361_7","C362_7","C361_8","C362_8","C364_1","C365_1","C364_2","C365_2","C364_3","C365_3","C364_4","C365_4","C366","C366_1","C366_2","C375_1","C375_2","C375_3","C375_4","C375_5","C375_6","C376","C377","OCUP300","D341_T","D344","D347_T","D350","D351_T","I339_1","I342","I345_1","I348","INGTOT","INGTOTP","ingtrabw","RESIDENT","FAC_T300"
2026,"01","36435",15,"0161",1,3,"2024103643515016111","03","04",1,1,1,1,2,,1,53,1,1,24,9,1972,1,,,,,,,,,,,,,,,,8332,4630,3,5,1,,4,400,12,0,0,5,0,8,8,33,,33,1,,2,,2,2,4,1150,,,,,,,,,,,,,,,1,1,1,1,2,,2,,2,,2,,2,,2,,2,,2,,1,1,2,,2,,6,5,,2,2,2,2,2,2,10,1,1,,,,,196,1150,,,,1150,1150,1346,1,30.7511472126416
2026,"01","36435",15,"0161",1,3,"2024103643515016112","03","04",1,2,2,1,2,,2,50,2,2,14,4,1975,1,,,,,,,,,,,,,,,,6122,146,2,,3,2,1,3,6,6,6,6,6,6,6,42,,42,1,,2,,2,2,,,,,,,,,,2,5,2,2,6,,,1,1,1,4,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,8,1,,2,2,2,2,2,2,10,7,1,,225,,,,,248,,,473,473,473,1,21.0390657424711
2026,"01","36435",15,"0161",1,3,"2024103643515016113","03","04",1,3,3,1,2,,2,30,3,3,26,8,1995,1,,,,,,,,,,,,,,,,5312,8510,8,2,,,5,9998,0,6,6,6,6,6,0,30,,30,1,,2,,2,2,5,,,,,,,,,2,4,2,2,5,,,1,5,2,,2,,2,,2,,1,5,2,,2,,2,,2,,2,,2,,2,,10,4,,2,2,2,2,2,2,10,1,1,,,,,,,,,,0,0,0,1,30.7335633345976
2026,"01","36435",15,"0161",1,3,"2024103643515016114","03","04",1,4,5,1,2,,2,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
2026,"01","36435",15,"0162",1,3,"2024103643515016212","03","04",1,1,1,1,2,,2,80,1,1,27,8,1945,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,2,2,7,,,1,1,1,4,2,,2,,2,,2,,2,,2,,2,,2,,2,,1,4,2,,5,3,,2,2,2,2,2,2,1,1,4,,,,,,,,,,,,,1,28.2728417432923
2026,"01","36435",15,"0162",1,3,"2024103643515016211","03","04",1,2,3,1,2,,1,59,2,2,30,7,1966,1,,,,,,,,,,,,,,,,1422,4630,3,5,1,,4,250,0,9,9,9,9,9,9,54,14,68,1,,1,2,2,2,4,2300,,,,,,4000,,,,,,,,,1,1,1,1,2,,2,,2,,2,,2,,2,,2,,1,1,2,,2,,2,,8,3,,2,2,2,2,2,2,10,7,1,,,,,532,2300,,,4000,6300,2300,6832,1,25.8301711760003
2026,"01","36435",15,"0162",1,3,"2024103643515016213","03","04",1,3,3,1,2,,2,55,3,1,21,5,1970,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,2,2,7,,,1,1,1,4,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,1,,,2,2,2,2,1,1,10,9,4,,,,,,,,,,,,,1,40.4163007149974
2026,"01","36435",15,"0164",1,3,"2024103643515016411","03","04",1,1,1,1,2,,1,46,1,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
2026,"01","36435",15,"0164",1,3,"2024103643515016412","03","04",1,2,2,1,2,,2,44,2,2,30,10,1981,1,,,,,,,,,,,,,,,,6114,150,2,,3,2,1,4,10,10,10,10,10,10,10,70,,70,1,,1,1,1,2,,,,,,,,,,2,5,2,2,6,,,1,1,1,4,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,11,5,,2,2,2,2,2,2,10,1,1,,158,,,,,82,,,240,240,240,1,30.7335633345976
2026,"01","36435",15,"0164",1,3,"2024103643515016413","03","04",1,3,3,1,2,,2,26,3,3,22,8,1999,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,1,1,5,,,1,5,2,,2,,2,,2,,1,5,2,,2,,2,,2,,2,,2,,2,,11,5,,2,2,2,2,2,2,10,1,4,,,,,,,,,,,,,1,30.7335633345976
2026,"01","36435",15,"0164",1,3,"2024103643515016414","03","04",1,4,3,1,2,,1,21,4,4,29,2,2004,1,,,,,,,,,,,,,,,,6122,146,2,,3,2,1,3,4,4,4,4,4,4,4,28,,28,1,,1,1,1,2,,,,,,,,,,,,,,,,,1,2,2,,1,2,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,6,5,,2,2,2,2,2,2,10,7,1,,13,,,,,116,,,129,129,129,1,64.4293882789663
2026,"01","36435",15,"0164",1,3,"2024103643515016415","03","04",1,5,3,1,2,,1,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
2026,"01","36435",15,"0165",1,3,"2026013643515016511","03","04",1,1,1,1,2,,2,20,1,1,11,3,2005,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,2,2,5,,,1,5,2,,2,,2,,2,,1,5,2,,2,,2,,2,,2,,2,,2,,10,3,,2,2,2,2,2,2,10,7,4,,,,,,,,,,,,,1,67.0164407411355
2026,"01","36435",16,"0115",1,3,"2025103643516011511","03","04",1,1,1,1,2,,1,49,1,1,5,2,1976,1,,,,,,,,,,,,,,,,9313,4100,3,5,3,2,1,3,0,8,8,8,8,8,5,45,,45,1,,2,,2,2,4,6000,,,,,,,,,,,,,,,1,5,2,,2,,2,,2,,1,5,2,,2,,2,,1,5,2,,2,,2,,5,2,,2,2,2,2,2,2,1,1,1,,,,,,6000,,,,6000,6000,6000,1,30.7511472126416
2026,"01","36435",16,"0115",1,3,"2025103643516011512","03","04",1,2,2,1,2,,2,38,2,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
2026,"01","36435",16,"0115",1,3,"2025103643516011513","03","04",1,3,3,1,2,,2,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
2026,"01","36435",16,"0115",1,3,"2025103643516011514","03","04",1,4,3,1,2,,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
2026,"01","36435",16,"0116",1,3,"2025103643516011611","03","04",1,1,1,1,2,,2,84,1,1,20,1,1942,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,1,2,3,,,1,5,2,,2,,2,,2,,1,5,2,,2,,2,,2,,2,,2,,2,,1,,,2,2,2,2,2,2,1,1,4,,,,,,,,,,,,,1,40.4163007149974
2026,"01","36435",16,"0117",1,3,"2025103643516011711","03","04",1,1,1,1,2,,2,51,1,1,10,6,1974,1,,,,,,,,,,,,,,,,9111,9700,6,,,,1,2,0,9,9,9,9,9,9,54,10,64,1,,2,,2,2,4,600,54,,,,,100,,,,,,,,,1,5,2,,2,,2,,2,,1,5,2,,2,,2,,2,,2,,2,,2,,4,,6,2,2,2,2,2,2,1,1,1,234,,,,,600,,,100,934,834,934,1,40.4163007149974
2026,"01","36435",16,"0118",1,3,"2025103643516011811","03","04",1,1,1,1,2,,2,56,1,1,9,5,1969,1,,,,,,,,,,,,,,,,6114,150,2,,3,2,1,1,1,7,7,7,7,7,7,43,,43,1,,2,,2,2,,,,,,,,,,2,8,1,2,1,,,1,5,2,,2,,2,,2,,1,5,2,,2,,2,,2,,2,,2,,2,,4,5,,2,2,2,2,2,2,1,1,1,,18,,,,,19,,,37,37,37,1,40.4163007149974
2026,"01","36435",17,"0147",1,3,"2025103643517014712","03","04",1,1,1,1,2,,2,34,1,1,14,6,1991,1,,,,,,,,,,,,,,,,3312,6419,3,3,,,5,9998,0,8,8,8,8,8,6,46,,46,1,,2,,2,2,4,1690,,,,,,,,,,,,,,,1,1,1,1,2,,2,,2,,2,,2,,2,,2,,1,1,2,,2,,2,,9,3,,2,2,2,2,2,2,10,7,1,,,,,500,1690,,,,1690,1690,2190,1,30.7335633345976
2026,"01","36435",17,"0147",1,3,"2025103643517014711","03","04",1,2,2,1,1,,1,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
2026,"01","36435",17,"0152",1,3,"2025103643517015211","03","04",1,1,1,1,2,,1,62,1,1,25,11,1963,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7,1,1,13,3,4,1,1,1,3,2,,2,,2,,2,,2,,2,,2,,1,3,2,,2,,2,,10,2,,2,2,2,2,2,2,1,8,2,,,,,,,,,,,,,1,25.8301711760003
2026,"01","36435",17,"0152",1,3,"2025103643517015212","03","04",1,2,2,1,2,,2,62,2,2,9,9,1963,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,2,2,6,,,1,1,1,4,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,3,3,,2,2,2,2,2,2,1,1,4,,,,,,,,,,,,,1,40.4163007149974
2026,"01","36435",17,"0152",1,3,"2025103643517015213","03","04",1,3,3,1,2,,2,32,3,3,25,9,1993,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,1,2,6,,,1,1,1,4,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,11,5,,2,2,2,2,2,2,10,1,4,,,,,,,,,,,,,1,30.7335633345976
2026,"01","36435",17,"0152",1,3,"2025103643517015214","03","04",1,4,4,1,1,,1,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
2026,"01","36435",17,"0152",1,3,"2025103643517015215","03","04",1,5,5,1,2,,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
2026,"01","36435",17,"0152",1,3,"2025103643517015216","03","04",1,6,5,1,2,,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
