"ANIO","MES","CONGLOMERADO","MUESTRA","SELVIV","HOGAR","ESTRATO","LLAVE_PANEL","CCDD","CODCIUDAD","AREA","C201","C203","C204","C205","C206","C207","C208","C300n","NROINF","C301_DIA","C301_MES","C301_ANIO","C303","C304","C305","C306_1","C306_2","C306_3","C306_4","C306_5","C306_6","C306_7","C306_8","C306_9","C306_10","C306_10A","C306_11","C306A","C308_COD","C309_COD","C310","C311","C312","C313","C317","C317A","C318_1","C318_2","C318_3","C318_4","C318_5","C318_6","C318_7","C318_T","C328_T","whoraT","C330","C331","C333","C334","P209H","C335","C338","C339_1","C341_T","C342","C344","C345_1","C347_T","C348","C350","C352","C353","C354","C355","C356","C357_I","C358","C359","SEGURO1","C361_1","C362_1","C361_2","C362_2","C361_3","C362_3","C361_4","C362_4","C361_5","C362_5","C361_6","C362_6","C361_7","C362_7","C361_8","C362_8","C364_1","C365_1","C364_2","C365_2","C364_3","C365_3","C364_4","C365_4","C366","C366_1","C366_2","C375_1","C375_2","C375_3","C375_4","C375_5","C375_6","C376","C377","OCUP300","D341_T","D344","D347_T","D350","D351_T","I339_1","I342","I345_1","I348","INGTOT","INGTOTP","ingtrabw","RESIDENT","FAC_T300"
2026,"01","42098",2,"0034",1,1,"202601420982003411","04","06",1,1,1,1,2,,1,66,1,1,27,4,1959,1,,,,,,,,,,,,,,,,5211,4651,1,,1,,1,5,0,8,8,8,8,8,8,48,,48,1,,2,,2,2,,,,3500,,,,,,,,,,,,,1,1,1,2,2,,2,,2,,2,,2,,2,,2,,1,5,2,,2,,2,,11,5,,2,2,2,2,2,2,10,6,1,,,,,,,3500,,,3500,3500,3500,1,549.471828944009
2026,"01","42098",2,"0034",1,1,"202601420982003412","04","06",1,2,3,1,1,,1,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
2026,"01","42098",2,"0034",1,1,"202601420982003413","04","06",1,3,3,1,2,,1,33,3,3,7,10,1992,1,,,,,,,,,,,,,,,,2611,6910,2,,2,2,1,1,0,8,8,8,8,8,0,40,,40,1,,2,,2,2,,,,,,,,,,,,,,,,,1,6,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,11,6,,2,2,2,2,2,2,10,7,1,,,,,,,1250,,,1250,1250,1250,1,747.88640417308
2026,"01","42098",2,"0036",1,1,"202601420982003611","04","06",1,1,1,1,2,,2,23,1,1,27,12,2002,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,2,2,5,,,2,6,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,10,3,,2,2,2,2,2,2,10,9,4,,,,,,,,,,,,,1,688.399621094944
2026,"01","42098",2,"0051",1,1,"202601420982005111","04","06",1,1,1,1,2,,1,37,1,1,20,4,1988,1,,,,,,,,,,,,,,,,3314,4520,1,,3,2,1,3,11,11,11,11,11,11,11,77,,77,1,,2,,2,2,,,,,,,,,,,,,,,,,1,5,2,,2,,2,,2,,1,5,2,,2,,2,,2,,2,,2,,2,,11,5,,2,2,2,2,2,2,10,6,1,,,,,,,1400,,,1400,1400,1400,1,
2026,"01","42098",2,"0051",1,1,"202601420982005112","04","06",1,2,2,1,2,,2,38,2,2,7,9,1987,1,,,,,,,,,,,,,,,,5142,9602,2,,3,2,1,1,0,2,0,5,0,0,0,7,,7,1,,2,,2,2,,,,,,,,,,,,,,,,,1,6,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,6,5,,2,2,2,2,2,2,10,5,1,,,,,,,903,,,903,903,903,1,
2026,"01","42098",2,"0051",1,1,"202601420982005113","04","06",1,3,3,1,2,,1,19,3,3,14,2,2006,1,,,,,,,,,,,,,,,,7113,4330,3,5,1,,2,21,0,8,8,8,8,8,8,48,,48,1,,2,,2,2,4,1400,60,,,,,,,,,,,,,,1,5,2,,2,,2,,2,,1,5,2,,2,,2,,2,,2,,2,,2,,6,5,,2,2,2,2,2,2,10,7,1,260,,,,,1400,,,,1660,1660,1660,1,
2026,"01","42098",2,"0051",1,1,"202601420982005114","04","06",1,4,3,1,1,,2,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
2026,"01","42098",2,"0172",1,1,"202601420982017211","04","06",1,1,1,1,2,,2,48,1,1,6,3,1977,1,,,,,,,,,,,,,,,,9412,5610,4,,3,2,1,2,6,6,6,6,6,6,6,42,,42,1,,2,,2,,,,,,,,,,,,,,,,,,1,6,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,11,5,,2,2,2,2,2,2,10,6,1,,,,,,,,,,0,0,0,1,
2026,"01","42098",2,"0172",1,1,"202601420982017212","04","06",1,2,2,1,2,,1,37,2,2,6,10,1988,1,,,,,,,,,,,,,,,,5120,5610,2,,3,2,1,2,6,6,6,6,6,6,6,42,,42,1,,2,,2,2,,,,,,,,,,,,,,,,,1,5,2,,2,,2,,2,,1,5,2,,2,,2,,2,,2,,2,,2,,6,5,,2,2,2,2,2,2,10,6,1,,217,,,,,1300,,,1517,1517,1517,1,
