"ANIO","MES","CONGLOMERADO","MUESTRA","SELVIV","HOGAR","ESTRATO","LLAVE_PANEL","CCDD","CODCIUDAD","AREA","C201","C203","C204","C205","C206","C207","C208","C300n","NROINF","C301_DIA","C301_MES","C301_ANIO","C303","C304","C305","C306_1","C306_2","C306_3","C306_4","C306_5","C306_6","C306_7","C306_8","C306_9","C306_10","C306_10A","C306_11","C306A","C308_COD","C309_COD","C310","C311","C312","C313","C317","C317A","C318_1","C318_2","C318_3","C318_4","C318_5","C318_6","C318_7","C318_T","C328_T","whoraT","C330","C331","C333","C334","P209H","C335","C338","C339_1","C341_T","C342","C344","C345_1","C347_T","C348","C350","C352","C353","C354","C355","C356","C357_I","C358","C359","SEGURO1","C361_1","C362_1","C361_2","C362_2","C361_3","C362_3","C361_4","C362_4","C361_5","C362_5","C361_6","C362_6","C361_7","C362_7","C361_8","C362_8","C364_1","C365_1","C364_2","C365_2","C364_3","C365_3","C364_4","C365_4","C366","C366_1","C366_2","C375_1","C375_2","C375_3","C375_4","C375_5","C375_6","C376","C377","OCUP300","D341_T","D344","D347_T","D350","D351_T","I339_1","I342","I345_1","I348","INGTOT","INGTOTP","ingtrabw","RESIDENT","FAC_T300"
2026,"01","3754201",3,"0010",1,2,"20260137542013001011","08","12",1,1,1,1,2,,2,37,1,1,20,6,1988,1,,,,,,,,,,,,,,,,5120,5610,2,,2,2,1,4,11,11,11,11,11,11,11,77,,77,1,,2,,2,2,,,,,,,,,,,,,,,,,1,5,2,,2,,2,,2,,1,5,2,,2,,2,,2,,2,,2,,2,,6,5,,2,2,2,2,2,2,1,1,1,,1455,,,,,3350,,,4805,4805,4805,1,554.985513625257
2026,"01","3754201",3,"0010",1,2,"20260137542013001015","08","12",1,2,2,1,2,,1,41,2,2,24,9,1984,1,,,,,,,,,,,,,,,,9412,5610,4,,2,2,1,4,10,11,11,11,11,11,11,76,,76,1,,2,,2,,,,,,,,,,,,,,,,,,1,5,2,,2,,2,,2,,1,5,2,,2,,2,,2,,2,,2,,2,,6,5,,2,2,2,2,2,2,1,1,1,,,,,,,,,,0,0,0,1,810.988636401278
2026,"01","3754201",3,"0010",1,2,"20260137542013001012","08","12",1,3,3,1,2,,1,17,3,3,16,7,2008,1,,,,,,,,,,,,,,,,9412,5610,4,,2,2,1,4,2,2,2,2,2,2,3,15,,15,1,,2,,2,,,,,,,,,,,,,,,,,,2,5,2,,2,,2,,2,,1,5,2,,2,,2,,2,,2,,2,,2,,5,4,,2,2,2,2,2,2,10,7,1,,,,,,,,,,0,0,0,1,731.494397737313
2026,"01","3754201",3,"0010",1,2,"20260137542013001013","08","12",1,4,3,1,2,,1,14,4,4,29,10,2011,1,,,,,,,,,,,,,,,,9412,5610,4,,2,2,1,4,2,1,2,2,3,3,2,15,,15,1,,2,,2,,,,,,,,,,,,,,,,,,1,5,2,,2,,2,,2,,1,5,2,,2,,2,,2,,2,,2,,2,,5,2,,2,2,2,2,2,2,10,7,1,,,,,,,,,,0,0,0,1,731.494397737313
2026,"01","3754201",3,"0010",1,2,"20260137542013001014","08","12",1,5,3,1,2,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
2026,"01","3754201",3,"0011",1,2,"20250137542013001111","08","12",1,1,1,1,2,,2,44,1,1,4,5,1981,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,1,1,13,6,1,1,5,2,,2,,2,,2,,1,5,2,,2,,2,,2,,2,,2,,2,,6,5,,2,2,2,2,2,2,1,1,2,,,,,,,,,,,,,1,554.985513625257
2026,"01","3754201",3,"0011",1,2,"20250137542013001112","08","12",1,2,2,1,1,,1,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
2026,"01","3754201",3,"0012",1,2,"20250137542013001211","08","12",1,1,1,1,2,,2,41,1,1,25,1,1985,1,,,,,,,,,,,,,,,,9334,4922,3,5,3,2,1,2,0,12,0,12,0,12,0,36,,36,1,,1,1,1,2,2,180,72,,,,,,,,,,,,,,1,5,2,,2,,2,,2,,1,5,2,,2,,2,,2,,2,,2,,2,,8,2,,2,2,2,2,2,2,1,1,1,312,,,,,779,,,,1091,1091,1091,1,514.725128176073
2026,"01","3754201",3,"0012",1,2,"20250137542013001212","08","12",1,2,3,1,2,,1,15,2,2,6,11,2010,1,,,,,,,,,,,,,,,,9629,8541,3,5,3,2,1,8,0,5,5,5,5,5,5,30,,30,1,,2,,2,2,2,150,,,,,,,,,,,,,,,2,5,2,,2,,2,,2,,1,5,2,,2,,2,,2,,2,,2,,2,,5,3,,2,2,2,2,2,2,10,1,1,,,,,,650,,,,650,650,650,1,731.494397737313
2026,"01","3754201",3,"0013",1,2,"20260137542013001311","08","12",1,1,1,1,2,,2,19,1,1,2,1,2007,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,2,2,5,,,1,5,2,,2,,2,,2,,1,5,2,,2,,2,,2,,2,,2,,2,,10,1,,2,2,2,2,2,2,10,7,4,,,,,,,,,,,,,1,463.298337252456
