"ANIO","MES","CONGLOMERADO","MUESTRA","SELVIV","HOGAR","ESTRATO","LLAVE_PANEL","CCDD","CODCIUDAD","AREA","C201","C203","C204","C205","C206","C207","C208","C300n","NROINF","C301_DIA","C301_MES","C301_ANIO","C303","C304","C305","C306_1","C306_2","C306_3","C306_4","C306_5","C306_6","C306_7","C306_8","C306_9","C306_10","C306_10A","C306_11","C306A","C308_COD","C309_COD","C310","C311","C312","C313","C317","C317A","C318_1","C318_2","C318_3","C318_4","C318_5","C318_6","C318_7","C318_T","C328_T","whoraT","C330","C331","C333","C334","P209H","C335","C338","C339_1","C341_T","C342","C344","C345_1","C347_T","C348","C350","C352","C353","C354","C355","C356","C357_I","C358","C359","SEGURO1","C361_1","C362_1","C361_2","C362_2","C361_3","C362_3","C361_4","C362_4","C361_5","C362_5","C361_6","C362_6","C361_7","C362_7","C361_8","C362_8","C364_1","C365_1","C364_2","C365_2","C364_3","C365_3","C364_4","C365_4","C366","C366_1","C366_2","C375_1","C375_2","C375_3","C375_4","C375_5","C375_6","C376","C377","OCUP300","D341_T","D344","D347_T","D350","D351_T","I339_1","I342","I345_1","I348","INGTOT","INGTOTP","ingtrabw","RESIDENT","FAC_T300"
2026,"01","33154",9,"0100",1,4,"202510331549010011","09","14",1,1,1,1,2,,2,44,1,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
2026,"01","33154",9,"0100",1,4,"202510331549010012","09","14",1,2,3,1,2,,2,19,2,2,8,1,2007,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,2,2,3,,,2,1,1,4,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,10,1,,2,2,2,2,2,2,10,7,4,,,,,,,,,,,,,1,85.1921137419871
2026,"01","33154",9,"0100",1,4,"202510331549010013","09","14",1,3,3,1,2,,1,15,3,3,23,5,2010,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,2,2,3,,,2,1,1,4,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,5,3,,2,2,2,2,2,2,10,7,4,,,,,,,,,,,,,1,87.1988870729052
2026,"01","33154",9,"0100",1,4,"202510331549010014","09","14",1,4,6,1,2,,2,86,4,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
2026,"01","33154",9,"0234",1,4,"202410331549023411","09","14",1,1,1,1,2,,2,44,1,1,9,5,1981,1,,,,,,,,,,,,,,,,9512,4781,2,,3,2,1,1,0,0,7,0,9,0,10,26,,26,1,,2,,2,2,,,,,,,,,,,,,,,,,1,5,2,,2,,2,,2,,1,5,2,,2,,2,,2,,2,,2,,2,,8,2,,2,2,2,2,2,2,1,1,1,,,,,,,1098,,,1098,1098,1098,1,50.8185590602033
2026,"01","33154",9,"0234",1,4,"202410331549023412","09","14",1,2,3,1,2,,1,21,2,2,7,10,2004,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,1,1,13,6,2,1,5,2,,2,,2,,2,,1,5,2,,2,,2,,2,,2,,2,,2,,10,2,,2,2,2,2,2,2,10,7,2,,,,,,,,,,,,,1,93.6693320452975
2026,"01","33154",9,"0234",1,4,"202410331549023413","09","14",1,3,3,1,2,,1,14,3,3,23,8,2011,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,2,2,3,,,1,5,2,,2,,2,,2,,1,5,2,,2,,2,,2,,2,,2,,2,,5,2,,2,2,2,2,2,2,10,7,4,,,,,,,,,,,,,1,87.1988870729052
2026,"01","33154",9,"0234",1,4,"202410331549023414","09","14",1,4,3,1,2,,1,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
2026,"01","33154",11,"0067",1,4,"2025103315411006711","09","14",1,1,1,1,2,,2,82,1,1,6,1,1944,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,7,2,2,3,,,1,5,2,,2,,2,,2,,1,5,2,,2,,2,,2,,2,,2,,2,,3,1,,2,2,2,2,2,2,1,1,4,,,,,,,,,,,,,1,43.5090301219357
2026,"01","33154",11,"0067",1,4,"2025103315411006712","09","14",1,2,2,1,2,,1,85,2,2,22,8,1940,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,7,2,2,3,,,1,5,2,,2,,2,,2,,1,5,2,,2,,2,,2,,2,,2,,2,,3,1,,1,2,2,2,2,2,1,1,4,,,,,,,,,,,,,1,44.1037689901875
