"ANIO","MES","CONGLOMERADO","MUESTRA","SELVIV","HOGAR","ESTRATO","LLAVE_PANEL","CCDD","CODCIUDAD","AREA","C201","C203","C204","C205","C206","C207","C208","C300n","NROINF","C301_DIA","C301_MES","C301_ANIO","C303","C304","C305","C306_1","C306_2","C306_3","C306_4","C306_5","C306_6","C306_7","C306_8","C306_9","C306_10","C306_10A","C306_11","C306A","C308_COD","C309_COD","C310","C311","C312","C313","C317","C317A","C318_1","C318_2","C318_3","C318_4","C318_5","C318_6","C318_7","C318_T","C328_T","whoraT","C330","C331","C333","C334","P209H","C335","C338","C339_1","C341_T","C342","C344","C345_1","C347_T","C348","C350","C352","C353","C354","C355","C356","C357_I","C358","C359","SEGURO1","C361_1","C362_1","C361_2","C362_2","C361_3","C362_3","C361_4","C362_4","C361_5","C362_5","C361_6","C362_6","C361_7","C362_7","C361_8","C362_8","C364_1","C365_1","C364_2","C365_2","C364_3","C365_3","C364_4","C365_4","C366","C366_1","C366_2","C375_1","C375_2","C375_3","C375_4","C375_5","C375_6","C376","C377","OCUP300","D341_T","D344","D347_T","D350","D351_T","I339_1","I342","I345_1","I348","INGTOT","INGTOTP","ingtrabw","RESIDENT","FAC_T300"
2026,"01","3174402",3,"0088",1,2,"20260131744023008811","12","21",1,1,1,1,2,,2,51,1,1,26,10,1974,1,,,,,,,,,,,,,,,,5120,5610,1,,2,2,1,2,8,8,8,8,8,0,8,48,,48,1,,2,,2,2,,,,,,,,,,,,,,,,,1,5,2,,2,,2,,2,,1,5,2,,2,,2,,2,,2,,2,,2,,9,3,,2,2,2,2,2,2,10,7,1,,180,,,,,1000,,,1180,1180,1180,1,212.601279460412
2026,"01","3174402",3,"0088",1,2,"20260131744023008812","12","21",1,2,2,1,2,,1,52,2,2,1,6,1973,1,,,,,,,,,,,,,,,,8322,4922,2,,3,2,1,1,0,8,8,8,8,8,4,44,,44,1,,2,,2,2,,,,,,,,,,,,,,,,,1,5,2,,2,,2,,2,,1,5,2,,2,,2,,2,,2,,2,,2,,9,3,,2,2,2,2,2,2,10,1,1,,,,,,,450,,,450,450,450,1,268.982632685361
2026,"01","3174402",3,"0090",1,2,"20260131744023009011","12","21",1,1,1,1,2,,1,56,1,1,3,1,1970,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6,2,2,6,,,1,1,1,3,2,,2,,2,,2,,2,,2,,2,,2,,1,3,2,,2,,6,5,,2,2,2,2,2,2,10,7,4,,,,,,,,,,,,,1,324.056248899349
2026,"01","3174402",3,"0090",1,2,"20260131744023009012","12","21",1,2,2,1,2,,2,53,2,2,14,1,1973,1,,,,,,,,,,,,,,,,7513,1071,2,,3,2,1,1,0,3,0,3,0,0,0,6,,6,1,,2,,2,2,,,,,,,,,,,,,,,,,2,5,2,,2,,2,,2,,1,5,2,,2,,2,,2,,2,,2,,2,,6,5,,2,2,2,2,2,2,10,7,1,,20,,,,,400,,,420,420,420,1,245.942304912972
2026,"01","3174402",3,"0090",1,2,"20260131744023009013","12","21",1,3,3,1,2,,1,25,3,3,30,3,2000,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,2,2,5,,,2,5,2,,2,,2,,2,,1,5,2,,2,,2,,2,,2,,2,,2,,10,4,,2,2,2,2,2,2,10,7,4,,,,,,,,,,,,,1,451.275628306089
2026,"01","3174402",3,"0090",1,2,"20260131744023009014","12","21",1,4,3,1,2,,1,17,4,4,6,6,2008,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,8,2,2,11,,,2,5,2,,2,,2,,2,,1,5,2,,2,,2,,2,,2,,2,,2,,5,4,,2,2,2,2,2,2,10,7,4,,,,,,,,,,,,,1,516.398039822377
2026,"01","3174402",3,"0092",1,2,"20260131744023009211","12","21",1,1,1,1,2,,2,45,1,1,23,1,1981,1,,,,,,,,,,,,,,,,9511,4781,2,,3,2,1,1,0,4,4,4,4,4,0,20,,20,1,,2,,2,2,,,,,,,,,,,,,,,,,1,5,2,,2,,2,,2,,1,5,2,,2,,2,,2,,2,,2,,2,,6,5,,2,2,2,2,2,2,10,7,1,,,,,,,320,,,320,320,320,1,245.942304912972
2026,"01","3174402",3,"0092",1,2,"20260131744023009212","12","21",1,2,2,1,2,,1,45,2,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
2026,"01","31749",3,"0078",1,2,"202410317493007811","12","21",1,1,1,1,2,,2,76,1,1,9,7,1949,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,2,2,3,,,1,5,2,,2,,2,,2,,1,5,2,,2,,2,,2,,2,,2,,2,,1,,,2,2,2,2,2,2,1,1,4,,,,,,,,,,,,,1,451.957639621611
2026,"01","31749",3,"0078",1,2,"202410317493007812","12","21",1,2,3,1,2,,1,46,2,2,16,3,1979,1,,,,,,,,,,,,,,,,9313,4100,3,5,3,2,1,5,0,8,8,8,8,8,4,44,,44,1,,2,,2,2,2,400,,,,,,,,,,,,,,,1,6,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,9,3,,2,2,2,2,2,2,10,1,1,,,,,,1732,,,,1732,1732,1732,1,339.091391592861
