"ANIO","MES","CONGLOMERADO","MUESTRA","SELVIV","HOGAR","ESTRATO","LLAVE_PANEL","CCDD","CODCIUDAD","AREA","C201","C203","C204","C205","C206","C207","C208","C300n","NROINF","C301_DIA","C301_MES","C301_ANIO","C303","C304","C305","C306_1","C306_2","C306_3","C306_4","C306_5","C306_6","C306_7","C306_8","C306_9","C306_10","C306_10A","C306_11","C306A","C308_COD","C309_COD","C310","C311","C312","C313","C317","C317A","C318_1","C318_2","C318_3","C318_4","C318_5","C318_6","C318_7","C318_T","C328_T","whoraT","C330","C331","C333","C334","P209H","C335","C338","C339_1","C341_T","C342","C344","C345_1","C347_T","C348","C350","C352","C353","C354","C355","C356","C357_I","C358","C359","SEGURO1","C361_1","C362_1","C361_2","C362_2","C361_3","C362_3","C361_4","C362_4","C361_5","C362_5","C361_6","C362_6","C361_7","C362_7","C361_8","C362_8","C364_1","C365_1","C364_2","C365_2","C364_3","C365_3","C364_4","C365_4","C366","C366_1","C366_2","C375_1","C375_2","C375_3","C375_4","C375_5","C375_6","C376","C377","OCUP300","D341_T","D344","D347_T","D350","D351_T","I339_1","I342","I345_1","I348","INGTOT","INGTOTP","ingtrabw","RESIDENT","FAC_T300"
2026,"01","0743002",6,"0054",1,2,"20260107430026005411","16","33",1,1,1,1,2,,1,43,1,1,1,7,1982,1,,,,,,,,,,,,,,,,7111,4100,3,5,1,,2,21,0,8,8,8,8,8,8,48,,48,1,,2,,2,2,3,1200,,,,,,,,,,,,,,,1,5,2,,2,,2,,2,,1,5,2,,2,,2,,1,5,2,,2,,2,,6,5,,2,2,2,2,2,2,10,7,1,,,,,,2400,,,,2400,2400,2400,1,163.963642049297
2026,"01","0743002",6,"0054",1,2,"20260107430026005412","16","33",1,2,2,1,2,,2,37,2,2,6,5,1988,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,7,2,2,6,,,1,5,2,,2,,2,,2,,1,5,2,,2,,2,,2,,2,,2,,2,,5,2,,2,2,2,2,2,2,10,7,4,,,,,,,,,,,,,1,117.582924345596
2026,"01","0743002",6,"0054",1,2,"20260107430026005413","16","33",1,3,3,1,2,,2,18,3,3,28,7,2007,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,2,2,6,,,1,5,2,,2,,2,,2,,1,5,2,,2,,2,,2,,2,,2,,2,,8,1,,2,2,2,2,2,2,10,7,4,,,,,,,,,,,,,1,131.847113814892
2026,"01","0743002",6,"0054",1,2,"20260107430026005414","16","33",1,4,3,1,2,,1,15,4,4,7,12,2010,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,2,2,6,,,1,5,2,,2,,2,,2,,1,5,2,,2,,2,,2,,2,,2,,2,,5,3,,2,2,2,2,2,2,10,7,4,,,,,,,,,,,,,1,115.192496323822
2026,"01","0743002",6,"0054",1,2,"20260107430026005415","16","33",1,5,3,1,2,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
2026,"01","0743002",6,"0055",1,2,"20260107430026005511","16","33",1,1,1,1,2,,2,45,1,1,22,7,1980,1,,,,,,,,,,,,,,,,9112,5510,3,5,2,1,1,4,2,2,2,2,2,2,2,14,35,49,1,,2,,2,2,2,100,,,,,,300,150,,,,,,,,1,5,2,,2,,2,,2,,1,5,2,,2,,2,,2,,2,,2,,2,,6,5,,2,2,2,2,2,2,10,7,1,,,,150,,433,,,300,883,433,883,1,83.7103034221916
2026,"01","0743002",6,"0055",1,2,"20260107430026005512","16","33",1,2,2,1,2,,1,72,2,2,3,6,1953,1,,,,,,,,,,,,,,,,7421,9522,2,,3,2,1,1,0,6,8,6,10,8,8,46,,46,1,,2,,2,2,,,,,,,,,,,,,,,,,1,5,2,,2,,2,,2,,1,5,2,,2,,2,,2,,2,,2,,2,,9,3,,2,2,2,2,2,2,10,7,1,,,,,,,1400,,,1400,1400,1400,1,82.0913636583767
2026,"01","0743002",6,"0055",1,2,"20260107430026005513","16","33",1,3,3,1,2,,1,20,3,3,22,11,2005,1,,,,,,,,,,,,,,,,5212,4771,3,5,2,2,1,6,4,8,8,8,8,8,4,48,,48,1,,2,,2,2,3,300,,,,,,,,,,,,,,,1,5,2,,2,,2,,2,,1,5,2,,2,,2,,2,,2,,2,,2,,10,1,,2,2,2,2,2,2,10,7,1,,,,,,600,,,,600,600,600,1,89.7575698621679
2026,"01","0743002",6,"0055",1,2,"20260107430026005514","16","33",1,4,3,1,2,,2,16,4,4,29,4,2009,1,,,,,,,,,,,,,,,,9412,5610,4,,3,2,1,2,3,2,3,2,2,2,2,16,,16,1,,2,,2,,,,,,,,,,,,,,,,,,2,5,2,,2,,2,,2,,1,5,2,,2,,2,,2,,2,,2,,2,,5,4,,2,2,2,2,2,2,10,7,1,,,,,,,,,,0,0,0,1,112.83157295489
2026,"01","0743002",6,"0055",1,2,"20260107430026005515","16","33",1,5,3,1,2,,1,14,5,5,28,3,2011,1,,,,,,,,,,,,,,,,5212,4771,3,5,2,2,1,6,4,8,8,8,8,8,4,48,,48,1,,2,,2,2,3,200,,,,,,,,,,,,,,,2,5,2,,2,,2,,2,,1,5,2,,2,,2,,2,,2,,2,,2,,5,3,,2,2,2,2,2,2,10,7,1,,,,,,400,,,,400,400,400,1,115.192496323822
