"ANIO","MES","CONGLOMERADO","MUESTRA","SELVIV","HOGAR","ESTRATO","LLAVE_PANEL","CCDD","CODCIUDAD","AREA","C201","C203","C204","C205","C206","C207","C208","C300n","NROINF","C301_DIA","C301_MES","C301_ANIO","C303","C304","C305","C306_1","C306_2","C306_3","C306_4","C306_5","C306_6","C306_7","C306_8","C306_9","C306_10","C306_10A","C306_11","C306A","C308_COD","C309_COD","C310","C311","C312","C313","C317","C317A","C318_1","C318_2","C318_3","C318_4","C318_5","C318_6","C318_7","C318_T","C328_T","whoraT","C330","C331","C333","C334","P209H","C335","C338","C339_1","C341_T","C342","C344","C345_1","C347_T","C348","C350","C352","C353","C354","C355","C356","C357_I","C358","C359","SEGURO1","C361_1","C362_1","C361_2","C362_2","C361_3","C362_3","C361_4","C362_4","C361_5","C362_5","C361_6","C362_6","C361_7","C362_7","C361_8","C362_8","C364_1","C365_1","C364_2","C365_2","C364_3","C365_3","C364_4","C365_4","C366","C366_1","C366_2","C375_1","C375_2","C375_3","C375_4","C375_5","C375_6","C376","C377","OCUP300","D341_T","D344","D347_T","D350","D351_T","I339_1","I342","I345_1","I348","INGTOT","INGTOTP","ingtrabw","RESIDENT","FAC_T300"
2026,"01","43839",14,"0035",1,3,"2025014383914003511","18","36",1,1,1,1,2,,2,66,1,1,15,4,1959,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,2,2,6,,,1,5,2,,2,,2,,2,,1,5,2,,2,,2,,2,,2,,2,,2,,4,5,,2,2,2,2,2,2,10,2,4,,,,,,,,,,,,,1,27.6457816329429
2026,"01","43839",14,"0035",1,3,"2025014383914003512","18","36",1,2,6,1,2,,2,93,2,1,2,1,1933,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,7,2,2,7,,,1,5,2,,2,,2,,2,,1,5,2,,2,,2,,2,,2,,2,,2,,1,,,1,1,2,2,1,2,2,2,4,,,,,,,,,,,,,1,27.6457816329429
2026,"01","43839",14,"0038",1,3,"2025014383914003811","18","36",1,1,1,1,2,,1,63,1,1,27,2,1962,1,,,,,,,,,,,,,,,,7231,4540,1,,2,1,1,4,0,8,8,8,8,8,8,48,,48,1,,2,,2,2,,,,,,,,,,,,,,,,,1,5,2,,2,,2,,2,,1,5,2,,2,,2,,2,,2,,2,,2,,6,5,,2,2,2,2,2,2,10,7,1,,,,,,,2264,,,2264,2264,2264,1,31.149892846118
2026,"01","43839",14,"0038",1,3,"2025014383914003812","18","36",1,2,3,1,2,,1,31,2,2,29,10,1994,1,,,,,,,,,,,,,,,,3314,4540,3,5,1,,1,5,0,6,6,6,6,6,6,36,,36,1,,1,2,2,2,4,2000,,,,,,,,,,,,,,,1,5,2,,2,,2,,2,,1,5,2,,2,,2,,1,5,2,,2,,2,,9,3,,2,2,2,2,2,2,10,7,1,,,,,,2000,,,,2000,2000,2000,1,40.8831660186683
2026,"01","43839",14,"0039",1,3,"2025014383914003911","18","36",1,1,1,1,2,,2,82,1,1,26,8,1943,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,2,2,6,,,1,1,1,4,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,4,5,,2,2,2,2,2,2,10,7,4,,,,,,,,,,,,,1,27.6457816329429
2026,"01","43839",14,"0039",1,3,"2025014383914003912","18","36",1,2,3,1,2,,2,58,2,2,15,8,1967,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,2,2,6,,,1,5,2,,2,,2,,2,,1,5,2,,2,,2,,2,,1,5,2,,2,,11,5,,2,2,2,2,2,2,10,2,4,,,,,,,,,,,,,1,18.7629567478992
2026,"01","43839",14,"0166",1,3,"2025014383914016611","18","36",1,1,1,1,2,,1,63,1,1,16,7,1962,1,,,,,,,,,,,,,,,,7235,9529,2,,2,2,1,1,0,8,8,8,8,8,8,48,16,64,1,,2,,2,2,,,,,,60,25,,,,,,,,,,1,5,2,,2,,2,,2,,1,5,2,,2,,2,,1,5,2,,2,,2,,6,5,,2,2,2,2,2,2,2,2,1,,,109,,,,262,60,,431,262,431,1,31.149892846118
2026,"01","43839",14,"0166",1,3,"2025014383914016612","18","36",1,2,2,1,2,,2,64,2,1,17,12,1961,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,7,2,2,7,,,1,5,2,,2,,2,,2,,1,5,2,,2,,2,,2,,2,,2,,2,,6,5,,1,2,2,2,2,2,10,7,4,,,,,,,,,,,,,1,25.1717576844309
2026,"01","43842",9,"0096",1,3,"202601438429009611","18","36",1,1,1,1,2,,2,63,1,1,22,2,1962,1,,,,,,,,,,,,,,,,2222,8610,3,2,,,5,9998,0,8,12,0,8,6,8,42,,42,1,,2,,2,2,4,6000,,,,,,,,,,,,,,,1,1,1,1,2,,2,,2,,2,,2,,2,,2,,1,1,2,,2,,2,,11,5,,2,2,2,2,2,2,10,7,1,,,,,50,6000,,,,6000,6000,6050,1,23.613329510444
2026,"01","43842",9,"0096",1,3,"202601438429009612","18","36",1,2,3,1,2,,1,28,2,2,15,11,1997,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,2,1,5,,,1,5,2,,2,,2,,2,,1,5,2,,2,,2,,2,,2,,2,,2,,10,3,,2,2,2,2,2,2,10,7,4,,,,,,,,,,,,,1,51.4517878818374
