"ANIO","MES","CONGLOMERADO","MUESTRA","SELVIV","HOGAR","ESTRATO","LLAVE_PANEL","CCDD","CODCIUDAD","AREA","C201","C203","C204","C205","C206","C207","C208","C300n","NROINF","C301_DIA","C301_MES","C301_ANIO","C303","C304","C305","C306_1","C306_2","C306_3","C306_4","C306_5","C306_6","C306_7","C306_8","C306_9","C306_10","C306_10A","C306_11","C306A","C308_COD","C309_COD","C310","C311","C312","C313","C317","C317A","C318_1","C318_2","C318_3","C318_4","C318_5","C318_6","C318_7","C318_T","C328_T","whoraT","C330","C331","C333","C334","P209H","C335","C338","C339_1","C341_T","C342","C344","C345_1","C347_T","C348","C350","C352","C353","C354","C355","C356","C357_I","C358","C359","SEGURO1","C361_1","C362_1","C361_2","C362_2","C361_3","C362_3","C361_4","C362_4","C361_5","C362_5","C361_6","C362_6","C361_7","C362_7","C361_8","C362_8","C364_1","C365_1","C364_2","C365_2","C364_3","C365_3","C364_4","C365_4","C366","C366_1","C366_2","C375_1","C375_2","C375_3","C375_4","C375_5","C375_6","C376","C377","OCUP300","D341_T","D344","D347_T","D350","D351_T","I339_1","I342","I345_1","I348","INGTOT","INGTOTP","ingtrabw","RESIDENT","FAC_T300"
2026,"01","15866",13,"0030",1,3,"2024101586613003011","19","38",1,1,1,1,2,,1,59,1,1,24,5,1966,1,,,,,,,,,,,,,,,,2351,8412,3,2,,,5,9998,0,8,8,8,8,8,0,40,,40,1,,2,,2,2,4,6000,,,,,,,,,,,,,,,1,1,1,1,2,,2,,2,,2,,2,,2,,2,,2,,1,1,2,,2,,12,2,,2,2,2,2,2,2,10,7,1,,,,,75,6000,,,,6000,6000,6075,1,20.4669798422502
2026,"01","15866",13,"0030",1,3,"2024101586613003012","19","38",1,2,2,1,2,,2,58,2,2,27,6,1967,1,,,,,,,,,,,,,,,,4120,8521,3,2,,,5,9998,0,6,6,6,6,6,0,30,,30,1,,2,,2,2,4,1500,,,,,,,,,,,,,,,1,1,1,1,2,,2,,2,,2,,2,,2,,2,,1,1,2,,2,,2,,11,5,,2,2,2,2,2,2,10,7,1,,,,,50,1500,,,,1500,1500,1550,1,15.3878441464935
2026,"01","15866",13,"0030",1,3,"2025101586613003013","19","38",1,3,3,1,2,,1,28,3,3,1,2,1997,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,1,1,13,7,8,1,5,2,,2,,2,,2,,1,5,2,,2,,2,,2,,2,,2,,2,,11,5,,2,2,2,2,2,2,10,7,2,,,,,,,,,,,,,1,32.6546813094902
2026,"01","15866",13,"0030",1,3,"2024101586613003013","19","38",1,4,3,1,2,,1,27,4,4,23,8,1998,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,1,1,13,5,1,1,5,2,,2,,2,,2,,1,5,2,,2,,2,,2,,2,,2,,2,,11,5,,2,2,2,2,2,2,10,7,2,,,,,,,,,,,,,1,32.6546813094902
2026,"01","15866",13,"0031",1,3,"2024101586613003111","19","38",1,1,1,1,2,,1,55,1,1,18,1,1971,1,,,,,,,,,,,,,,,,2351,8412,3,2,,,5,9998,8,8,8,8,8,8,8,56,,56,1,,2,,2,2,4,6000,,,,,,,,,,,,,,,1,1,1,1,2,,2,,2,,2,,2,,2,,2,,2,,1,1,2,,2,,12,2,,2,2,2,2,2,2,10,6,1,,,,,75,6000,,,,6000,6000,6075,1,20.4669798422502
2026,"01","15866",13,"0031",1,3,"2024101586613003112","19","38",1,2,2,1,2,,2,56,2,2,5,6,1969,2,1,,,,,,,,,,,,,,,2341,8521,3,2,,,5,9998,0,0,0,0,0,0,0,0,,30,2,30,2,,2,2,4,2500,,,,,,,,,,,,,,,2,1,1,1,2,,2,,2,,2,,2,,2,,2,,2,,1,1,2,,2,,12,2,,2,2,2,2,2,2,10,7,1,,,,,75,2500,,,,2500,2500,2575,1,15.3878441464935
2026,"01","15866",13,"0031",1,3,"2024101586613003114","19","38",1,3,3,1,2,,1,21,3,3,23,4,2004,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,2,2,5,,,1,5,2,,2,,2,,2,,1,5,2,,2,,2,,2,,2,,2,,2,,10,1,,2,2,2,2,2,2,10,7,4,,,,,,,,,,,,,1,31.1012450563902
2026,"01","15866",13,"0031",1,3,"2024101586613003115","19","38",1,4,3,1,1,,2,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
2026,"01","15866",13,"0033",1,3,"2025101586613003311","19","38",1,1,1,1,2,,1,50,1,1,4,3,1975,2,1,,,,,,,,,,,,,,,9311,729,3,5,1,,5,850,0,0,0,0,0,0,0,0,,77,2,77,2,,2,2,4,2500,1140,,,,,,,,,,,,,,1,1,1,1,2,,2,,2,,2,,2,,2,,2,,2,,1,1,2,,2,,10,1,,2,2,2,2,2,2,10,7,1,1140,,,,707,2500,,,,3640,3640,4347,1,20.4669798422502
2026,"01","15866",13,"0033",1,3,"2025101586613003312","19","38",1,2,2,1,2,,2,42,2,2,13,4,1983,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,1,2,6,,,1,1,1,4,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,6,5,,2,2,2,2,2,2,10,8,4,,,,,,,,,,,,,1,32.8592489641334
2026,"01","15866",13,"0033",1,3,"2025101586613003313","19","38",1,3,3,1,1,,2,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
2026,"01","15866",13,"0033",1,3,"2025101586613003314","19","38",1,4,3,1,1,,1,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
