"ANIO","MES","CONGLOMERADO","MUESTRA","SELVIV","HOGAR","ESTRATO","LLAVE_PANEL","CCDD","CODCIUDAD","AREA","C201","C203","C204","C205","C206","C207","C208","C300n","NROINF","C301_DIA","C301_MES","C301_ANIO","C303","C304","C305","C306_1","C306_2","C306_3","C306_4","C306_5","C306_6","C306_7","C306_8","C306_9","C306_10","C306_10A","C306_11","C306A","C308_COD","C309_COD","C310","C311","C312","C313","C317","C317A","C318_1","C318_2","C318_3","C318_4","C318_5","C318_6","C318_7","C318_T","C328_T","whoraT","C330","C331","C333","C334","P209H","C335","C338","C339_1","C341_T","C342","C344","C345_1","C347_T","C348","C350","C352","C353","C354","C355","C356","C357_I","C358","C359","SEGURO1","C361_1","C362_1","C361_2","C362_2","C361_3","C362_3","C361_4","C362_4","C361_5","C362_5","C361_6","C362_6","C361_7","C362_7","C361_8","C362_8","C364_1","C365_1","C364_2","C365_2","C364_3","C365_3","C364_4","C365_4","C366","C366_1","C366_2","C375_1","C375_2","C375_3","C375_4","C375_5","C375_6","C376","C377","OCUP300","D341_T","D344","D347_T","D350","D351_T","I339_1","I342","I345_1","I348","INGTOT","INGTOTP","ingtrabw","RESIDENT","FAC_T300"
2026,"01","0116802",3,"0111",1,2,"20241001168023011111","20","39",1,1,1,1,2,,1,22,1,1,5,11,2003,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,2,2,5,,,1,5,2,,2,,2,,2,,1,5,2,,2,,2,,2,,2,,2,,2,,10,4,,2,2,2,2,2,2,10,7,4,,,,,,,,,,,,,1,271.495205099391
2026,"01","0116802",3,"0113",1,2,"20241001168023011311","20","39",1,1,1,1,2,,1,66,1,1,18,8,1959,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6,2,2,3,,,1,4,2,,2,,2,,1,3,2,,2,,2,,2,,2,,2,,2,,1,3,9,3,,2,2,2,2,2,2,10,7,4,,,,,,,,,,,,,1,250.766736571858
2026,"01","0116802",3,"0113",1,2,"20241001168023011312","20","39",1,2,2,1,2,,2,62,2,2,22,5,1963,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,2,2,6,,,1,4,2,,2,,2,,1,4,2,,2,,2,,2,,2,,2,,2,,2,,6,5,,2,2,2,2,2,2,10,7,4,,,,,,,,,,,,,1,210.397614679523
2026,"01","0116802",3,"0115",1,2,"20241001168023011511","20","39",1,1,1,1,2,,1,52,1,1,6,10,1973,1,,,,,,,,,,,,,,,,2252,2100,3,5,1,,4,120,0,9,9,9,9,9,9,54,,54,1,,2,,2,2,4,2800,12,,,,,,,,,,,,,,1,1,1,1,2,,2,,2,,2,,2,,2,,2,,1,1,2,,2,,2,,11,5,,2,2,2,2,2,2,10,7,1,360,,,,566,2800,,,,3160,3160,3726,1,250.766736571858
2026,"01","0116802",3,"0115",1,2,"20241001168023011512","20","39",1,2,2,1,2,,2,47,2,2,10,11,1978,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,2,2,6,,,1,1,1,4,2,,2,,2,,2,,2,,2,,2,,1,5,2,,2,,2,,6,5,,2,2,2,2,2,2,10,7,4,,,,,,,,,,,,,1,210.397614679523
2026,"01","0116802",3,"0115",1,2,"20241001168023011513","20","39",1,3,3,1,2,,1,18,3,3,28,9,2007,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,2,2,5,,,2,5,2,,2,,2,,2,,1,5,2,,2,,2,,2,,2,,2,,2,,10,1,,2,2,2,2,2,2,10,7,4,,,,,,,,,,,,,1,271.495205099391
2026,"01","0116802",3,"0116",1,2,"20241001168023011611","20","39",1,1,1,1,2,,1,66,1,1,25,9,1959,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,1,1,13,3,3,1,4,2,,2,,2,,1,3,2,,2,,2,,2,,2,,2,,2,,1,3,6,5,,2,2,2,2,2,2,10,7,2,,,,,,,,,,,,,1,282.511807649867
2026,"01","0116802",3,"0116",1,2,"20241001168023011612","20","39",1,2,2,1,2,,2,58,2,2,4,1,1968,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,2,2,6,,,1,4,2,,2,,2,,1,4,2,,2,,2,,2,,1,5,2,,2,,2,,9,3,,2,2,2,2,2,2,10,7,4,,,,,,,,,,,,,1,245.621823307256
2026,"01","0116802",3,"0116",1,2,"20241001168023011613","20","39",1,3,3,1,1,,2,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
2026,"01","0116802",3,"0116",1,2,"20241001168023011614","20","39",1,4,3,1,1,,1,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
2026,"01","01173",3,"0020",1,2,"202601011733002011","20","39",1,1,1,1,2,,1,62,1,1,30,3,1963,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,7,2,2,7,,,1,1,1,3,2,,2,,2,,2,,2,,2,,2,,1,3,2,,2,,2,,5,3,,2,2,2,2,2,2,10,7,4,,,,,,,,,,,,,1,262.446448087838
2026,"01","01173",3,"0020",1,2,"202601011733002012","20","39",1,2,2,1,2,,2,59,2,2,13,2,1966,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,1,1,13,5,1,1,1,1,4,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,5,3,,2,2,2,2,2,2,10,7,2,,,,,,,,,,,,,1,195.454155060412
2026,"01","01173",3,"0021",1,2,"202601011733002111","20","39",1,1,1,1,2,,1,37,1,1,15,2,1988,1,,,,,,,,,,,,,,,,3312,6419,3,3,,,5,3000,0,8,8,8,8,8,8,48,,48,1,,2,,2,2,4,4000,,,,,,,,,,,,,,,1,1,1,1,2,,2,,2,,2,,2,,2,,2,,2,,1,1,2,,2,,11,5,,2,2,2,2,2,2,10,7,1,,,,,816,4000,,,,4000,4000,4816,1,307.311590226618
2026,"01","01173",3,"0021",1,2,"202601011733002112","20","39",1,2,2,1,2,,2,35,2,2,2,4,1990,1,,,,,,,,,,,,,,,,4321,4290,3,5,1,,2,21,0,8,8,8,8,8,8,48,,48,1,,2,,2,2,4,2000,,,,,,,,,,,,,,,1,1,1,1,2,,2,,2,,2,,2,,2,,2,,2,,1,1,2,,2,,11,5,,2,2,2,2,2,2,10,7,1,,,,,392,2000,,,,2000,2000,2392,1,257.599997754255
2026,"01","01173",3,"0021",1,2,"202601011733002113","20","39",1,3,3,1,2,,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
2026,"01","01173",3,"0021",1,2,"202601011733002114","20","39",1,4,3,1,2,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
2026,"01","01173",3,"0022",1,2,"202601011733002211","20","39",1,1,1,1,2,,1,59,1,1,23,12,1966,1,,,,,,,,,,,,,,,,7231,4540,2,,3,2,1,1,6,10,10,10,10,10,8,64,,64,1,,2,,2,2,,,,,,,,,,,,,,,,,1,6,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,5,3,,2,2,2,2,2,2,10,7,1,,,,,,,2050,,,2050,2050,2050,1,262.446448087838
2026,"01","01173",3,"0023",1,2,"202601011733002313","20","39",1,1,1,1,1,,1,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
2026,"01","01173",3,"0023",1,2,"202601011733002312","20","39",1,2,3,1,2,,1,28,2,2,24,2,1997,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,2,2,7,,,1,6,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,3,,4,2,2,2,2,2,2,10,7,4,,,,,,,,,,,,,1,382.478750398347
2026,"01","01173",3,"0023",1,2,"202601011733002311","20","39",1,3,3,1,2,,2,24,3,3,3,12,2001,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,2,2,5,,,1,6,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,10,5,,2,2,2,2,2,2,10,7,4,,,,,,,,,,,,,1,302.412535640394
2026,"01","01176",3,"0028",1,2,"202410011763002811","20","39",1,1,1,1,2,,1,49,1,1,8,12,1976,1,,,,,,,,,,,,,,,,5414,8010,3,4,1,,3,100,11,0,11,11,11,11,11,66,,66,1,,2,,2,2,4,1300,,,,,,,,,,,,,,,1,1,1,1,2,,2,,2,,2,,2,,2,,2,,1,1,2,,2,,2,,9,3,,2,2,2,2,2,2,10,7,1,,,,,,1300,,,,1300,1300,1300,1,141.034323527402
2026,"01","01176",3,"0028",1,2,"202410011763002812","20","39",1,2,2,1,2,,2,52,2,2,15,9,1973,1,,,,,,,,,,,,,,,,5213,4789,2,,2,2,1,1,6,6,6,6,6,6,6,42,,42,1,,2,,2,2,,,,,,,,,,,,,,,,,1,5,2,,2,,2,,2,,1,5,2,,2,,2,,2,,2,,2,,2,,9,3,,2,2,2,2,2,2,10,7,1,,,,,,,1063,,,1063,1063,1063,1,138.140760482319
2026,"01","01176",3,"0028",1,2,"202410011763002813","20","39",1,3,3,1,2,,1,24,3,4,13,4,2001,1,,,,,,,,,,,,,,,,8321,4922,2,,3,2,1,1,0,8,8,8,8,10,10,52,,52,1,,2,,2,2,,,,,,,,,,,,,,,,,1,6,2,,2,,2,,2,,2,,2,,2,,2,,1,5,2,,2,,2,,8,2,,2,2,2,2,2,2,10,5,1,,,,,,,1712,,,1712,1712,1712,1,152.692271373694
2026,"01","01176",3,"0028",1,2,"202410011763002814","20","39",1,4,3,1,2,,2,22,4,4,14,1,2004,1,,,,,,,,,,,,,,,,9112,5510,3,5,1,,3,60,8,8,8,8,0,8,8,48,,48,1,,2,,2,2,4,1130,,,,,,,,,,,,,,,1,1,1,1,2,,2,,2,,2,,2,,2,,2,,1,1,2,,2,,2,,10,1,,2,2,2,2,2,2,10,7,1,,,,,,1130,,,,1130,1130,1130,1,183.084081563151
2026,"01","01176",3,"0028",1,2,"202410011763002815","20","39",1,5,3,1,2,,1,19,5,5,2,12,2006,1,,,,,,,,,,,,,,,,7234,9200,3,5,1,,4,150,8,8,8,8,8,0,0,40,,40,1,,2,,2,2,4,1200,36,,,,,,,,,,,,,,1,1,1,1,2,,2,,2,,2,,2,,2,,2,,1,1,2,,2,,2,,6,5,,2,2,2,2,2,2,10,5,1,156,,,,92,1200,,,,1356,1356,1448,1,196.390959302295
2026,"01","01176",3,"0029",1,2,"202410011763002911","20","39",1,1,1,1,2,,2,65,1,1,16,6,1960,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,7,2,2,7,,,1,5,2,,2,,2,,2,,1,5,2,,2,,2,,2,,2,,2,,2,,5,3,,2,2,2,2,2,2,10,6,4,,,,,,,,,,,,,1,118.330228577196
2026,"01","01176",3,"0029",1,2,"202410011763002912","20","39",1,2,5,1,2,,1,28,2,2,15,12,1997,1,,,,,,,,,,,,,,,,3113,9511,3,5,1,,3,70,0,8,8,8,8,8,4,44,,44,1,,2,,2,2,4,2500,,,,,,,,,,,,,,,1,1,1,1,2,,2,,2,,2,,2,,2,,2,,1,1,2,,2,,2,,9,3,,2,2,2,2,2,2,10,7,1,,,,,724,2500,,,,2500,2500,3224,1,186.050026435599
2026,"01","01176",3,"0029",1,2,"202510011763002913","20","39",1,3,11,1,2,,2,31,3,3,5,10,1994,1,,,,,,,,,,,,,,,,4417,8690,3,5,1,,3,80,0,7,7,7,7,7,3,38,,38,1,,2,,2,1,4,1200,,,,,,,,,,,,,,,1,1,1,1,2,,2,,2,,2,,2,,2,,2,,1,1,2,,2,,2,,11,5,,2,2,2,2,2,2,10,5,1,,,,,,1200,,,,1200,1200,1200,1,155.954047670794
2026,"01","01176",3,"0030",1,2,"202410011763003011","20","39",1,1,1,1,2,,1,33,1,1,14,12,1992,1,,,,,,,,,,,,,,,,212,8422,3,1,,,5,9998,0,7,7,7,7,7,0,35,,35,1,,2,,2,2,4,3750,90,,,,,,,,,,,,,,1,4,2,,2,,2,,1,1,2,,2,,2,,2,,2,,2,,2,,1,1,10,3,,2,2,2,2,2,2,10,7,1,390,,,,83,3750,,,,4140,4140,4223,1,186.050026435599
2026,"01","01176",3,"0030",1,2,"202410011763003012","20","39",1,2,2,1,2,,2,20,2,2,5,10,2005,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,1,2,6,,,1,5,2,,2,,2,,2,,1,5,2,,2,,2,,2,,2,,2,,2,,6,5,,2,2,2,2,2,2,10,7,4,,,,,,,,,,,,,1,163.894996480348
2026,"01","01176",3,"0030",1,2,"202410011763003013","20","39",1,3,3,1,2,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
2026,"01","01176",3,"0030",1,2,"202410011763003014","20","39",1,4,6,1,2,,2,55,4,4,10,6,1970,1,,,,,,,,,,,,,,,,9112,8411,3,2,,,5,9998,0,7,7,7,7,7,0,35,,35,1,,2,,2,2,4,1130,,,,,,,,,,,,,,,1,5,2,,2,,2,,2,,1,5,2,,2,,2,,2,,2,,2,,2,,6,5,,2,2,2,2,2,2,10,7,1,,,,,,1130,,,,1130,1130,1130,1,118.330228577196
2026,"01","01176",3,"0030",1,2,"202410011763003015","20","39",1,5,7,1,2,,2,24,5,5,9,2,2001,1,,,,,,,,,,,,,,,,4321,8411,3,2,,,5,9998,0,8,8,8,8,8,0,40,20,60,1,,2,,2,2,4,2500,,,,,,300,,,,,,,,,1,1,1,1,2,,2,,2,,2,,2,,2,,2,,1,1,2,,2,,2,,11,5,,2,2,2,2,2,2,10,7,1,,,,,25,2500,,,300,2800,2500,2825,1,183.084081563151
2026,"01","01176",3,"0030",1,2,"202601011763003016","20","39",1,6,8,2,,2,2,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
2026,"01","01176",3,"0034",1,2,"202410011763003411","20","39",1,1,1,1,2,,2,43,1,1,3,6,1982,1,,,,,,,,,,,,,,,,8321,4923,2,,3,2,1,1,0,3,0,0,3,0,3,9,,25,2,25,1,1,1,1,,,,,,,,,,,,,,,,,1,5,2,,2,,2,,2,,1,5,2,,2,,2,,1,5,2,,2,,2,,8,2,,2,2,2,2,2,2,10,7,1,,,,,,,110,,,110,110,110,1,155.954047670794
