"ANIO","MES","CONGLOMERADO","MUESTRA","SELVIV","HOGAR","ESTRATO","LLAVE_PANEL","CCDD","CODCIUDAD","AREA","C201","C203","C204","C205","C206","C207","C208","C300n","NROINF","C301_DIA","C301_MES","C301_ANIO","C303","C304","C305","C306_1","C306_2","C306_3","C306_4","C306_5","C306_6","C306_7","C306_8","C306_9","C306_10","C306_10A","C306_11","C306A","C308_COD","C309_COD","C310","C311","C312","C313","C317","C317A","C318_1","C318_2","C318_3","C318_4","C318_5","C318_6","C318_7","C318_T","C328_T","whoraT","C330","C331","C333","C334","P209H","C335","C338","C339_1","C341_T","C342","C344","C345_1","C347_T","C348","C350","C352","C353","C354","C355","C356","C357_I","C358","C359","SEGURO1","C361_1","C362_1","C361_2","C362_2","C361_3","C362_3","C361_4","C362_4","C361_5","C362_5","C361_6","C362_6","C361_7","C362_7","C361_8","C362_8","C364_1","C365_1","C364_2","C365_2","C364_3","C365_3","C364_4","C365_4","C366","C366_1","C366_2","C375_1","C375_2","C375_3","C375_4","C375_5","C375_6","C376","C377","OCUP300","D341_T","D344","D347_T","D350","D351_T","I339_1","I342","I345_1","I348","INGTOT","INGTOTP","ingtrabw","RESIDENT","FAC_T300"
2026,"01","4064201",5,"0083",1,2,"20250140642015008311","21","43",1,1,1,1,2,,1,45,1,1,5,3,1980,1,,,,,,,,,,,,,,,,7111,4100,3,5,3,2,1,4,0,0,0,9,9,9,0,27,,27,1,,1,1,1,2,2,150,24,,,,,,,,,,,,,,1,5,2,,2,,2,,2,,1,5,2,,2,,2,,2,,2,,2,,2,,8,1,,2,2,2,2,2,2,1,1,1,104,,,,,650,,,,754,754,754,1,56.6633488707027
2026,"01","4064201",5,"0086",1,2,"20250140642015008611","21","43",1,1,1,1,2,,2,64,1,1,3,9,1961,1,,,,,,,,,,,,,,,,9512,4781,3,5,3,2,1,2,0,0,0,0,0,0,4,4,,4,1,,1,1,1,2,2,10,,,,,,,,,,,,,,,1,5,2,,2,,2,,2,,1,5,2,,2,,2,,2,,2,,2,,2,,4,5,,2,2,2,2,2,2,1,1,1,,,,,,43,,,,43,43,43,1,55.3618815573741
2026,"01","4064201",5,"0086",1,2,"20250140642015008612","21","43",1,2,3,1,2,,2,21,2,2,22,4,2004,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,2,1,5,,,1,5,2,,2,,2,,2,,1,5,2,,2,,2,,2,,2,,2,,2,,10,3,,2,2,2,2,2,2,10,1,4,,,,,,,,,,,,,1,101.582515936127
2026,"01","4064201",5,"0088",1,2,"20250140642015008811","21","43",1,1,1,1,2,,1,69,1,1,3,12,1956,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,1,1,3,,,1,5,2,,2,,2,,2,,1,5,2,,2,,2,,2,,2,,2,,2,,4,5,,2,2,2,2,2,2,1,1,4,,,,,,,,,,,,,1,55.6439287857288
2026,"01","4064201",5,"0088",1,2,"20250140642015008812","21","43",1,2,2,1,2,,2,78,2,2,25,10,1947,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6,1,1,3,,,1,5,2,,2,,2,,2,,1,5,2,,2,,2,,2,,2,,2,,2,,1,,,2,2,2,2,2,2,1,1,4,,,,,,,,,,,,,1,55.3618815573741
2026,"01","4064201",5,"0089",1,2,"20250140642015008911","21","43",1,1,1,1,2,,2,44,1,1,17,10,1981,1,,,,,,,,,,,,,,,,9111,9700,6,,,,1,2,0,2,0,1,0,0,1,4,,3,2,3,1,1,1,1,2,90,,,,,,,,,,,,,,,1,5,2,,2,,2,,2,,1,5,2,,2,,2,,2,,2,,2,,2,,11,5,,2,2,2,2,2,2,1,1,1,,,,,,390,,,,390,390,390,1,77.6314441574894
2026,"01","4064201",5,"0089",1,2,"20250140642015008912","21","43",1,2,2,1,1,,1,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
2026,"01","40649",7,"0103",1,2,"202601406497010311","21","43",1,1,1,1,2,,1,63,1,1,5,3,1962,1,,,,,,,,,,,,,,,,7212,4520,3,5,3,2,1,3,0,0,6,0,0,6,0,12,,12,1,,2,,2,2,2,100,,,,,,,,,,,,,,,1,6,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,4,5,,2,1,2,1,2,2,1,1,1,,,,,,433,,,,433,433,433,1,46.7711068100518
2026,"01","40649",7,"0103",1,2,"202601406497010312","21","43",1,2,2,1,2,,2,61,2,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
2026,"01","40649",7,"0103",1,2,"202601406497010313","21","43",1,3,3,1,2,,2,31,3,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
