"ANIO","MES","CONGLOMERADO","MUESTRA","SELVIV","HOGAR","ESTRATO","LLAVE_PANEL","CCDD","CODCIUDAD","AREA","C201","C203","C204","C205","C206","C207","C208","C300n","NROINF","C301_DIA","C301_MES","C301_ANIO","C303","C304","C305","C306_1","C306_2","C306_3","C306_4","C306_5","C306_6","C306_7","C306_8","C306_9","C306_10","C306_10A","C306_11","C306A","C308_COD","C309_COD","C310","C311","C312","C313","C317","C317A","C318_1","C318_2","C318_3","C318_4","C318_5","C318_6","C318_7","C318_T","C328_T","whoraT","C330","C331","C333","C334","P209H","C335","C338","C339_1","C341_T","C342","C344","C345_1","C347_T","C348","C350","C352","C353","C354","C355","C356","C357_I","C358","C359","SEGURO1","C361_1","C362_1","C361_2","C362_2","C361_3","C362_3","C361_4","C362_4","C361_5","C362_5","C361_6","C362_6","C361_7","C362_7","C361_8","C362_8","C364_1","C365_1","C364_2","C365_2","C364_3","C365_3","C364_4","C365_4","C366","C366_1","C366_2","C375_1","C375_2","C375_3","C375_4","C375_5","C375_6","C376","C377","OCUP300","D341_T","D344","D347_T","D350","D351_T","I339_1","I342","I345_1","I348","INGTOT","INGTOTP","ingtrabw","RESIDENT","FAC_T300"
2026,"01","0003301",10,"0044",1,3,"202601000330110004411","24","48",1,1,1,1,2,,1,41,1,1,12,11,1984,1,,,,,,,,,,,,,,,,5212,4752,2,,2,2,1,2,0,5,0,8,8,0,0,21,,21,1,,2,,2,2,,,,,,,,,,,,,,,,,1,5,2,,2,,2,,2,,1,5,2,,2,,2,,1,5,2,,2,,2,,9,3,,2,2,2,2,2,2,10,5,1,,,,,,,1965,,,1965,1965,1965,1,16.0006012242597
2026,"01","0003301",10,"0044",1,3,"202601000330110004412","24","48",1,2,2,1,2,,2,42,2,2,20,1,1984,1,,,,,,,,,,,,,,,,9111,9700,6,,,,1,1,0,8,8,8,8,8,8,48,,48,1,,2,,2,2,4,1000,12,,,,,,,,,,,,,,1,5,2,,2,,2,,2,,1,5,2,,2,,2,,2,,2,,2,,2,,6,5,,2,2,2,2,2,2,10,5,1,360,,,,,1000,,,,1360,1360,1360,1,18.0041940303261
2026,"01","0003301",10,"0044",1,3,"202601000330110004413","24","48",1,3,3,1,2,,1,17,3,3,17,3,2008,1,,,,,,,,,,,,,,,,9313,4100,3,5,3,2,1,5,0,0,0,6,6,6,6,24,,24,1,,2,,2,2,2,240,,,,,,,,,,,,,,,1,5,2,,2,,2,,2,,1,5,2,,2,,2,,2,,2,,2,,2,,10,1,,2,2,2,2,2,2,10,6,1,,,,,,1039,,,,1039,1039,1039,1,10.9487790451523
2026,"01","0003301",10,"0044",1,3,"202601000330110004414","24","48",1,4,4,1,2,,2,18,4,4,13,3,2007,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,2,2,6,,,2,1,1,4,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,6,5,,2,2,2,2,2,2,10,5,4,,,,,,,,,,,,,1,13.2093570213402
2026,"01","0003301",10,"0044",1,3,"202601000330110004415","24","48",1,5,5,1,2,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
2026,"01","0003301",10,"0046",1,3,"202601000330110004611","24","48",1,1,1,1,2,,1,52,1,1,24,1,1974,1,,,,,,,,,,,,,,,,6223,311,2,,3,2,1,1,0,6,6,6,6,6,6,36,,36,1,,2,,2,2,,,,,,,,,,,,,,,,,1,5,2,,2,,2,,2,,1,5,2,,2,,2,,1,5,2,,2,,2,,5,4,,2,2,2,2,2,2,10,5,1,,65,,,,,1379,,,1444,1444,1444,1,13.1551717242528
2026,"01","0003301",10,"0046",1,3,"202601000330110004612","24","48",1,2,2,1,2,,2,43,2,2,19,2,1982,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,,5223,4711,9,,3,2,1,2,0,3,0,3,0,3,0,9,,,1,,2,,,,,,,,,,,,,2,5,2,2,6,,,1,5,2,,2,,2,,2,,1,5,2,,2,,2,,2,,2,,2,,2,,5,3,,2,2,2,2,2,2,10,5,4,,,,,,,,,,,,,1,18.0041940303261
2026,"01","0003301",10,"0046",1,3,"202601000330110004613","24","48",1,3,3,1,2,,2,19,3,3,26,6,2006,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,2,2,5,,,2,5,2,,2,,2,,2,,1,5,2,,2,,2,,2,,2,,2,,2,,8,1,,2,2,2,2,2,2,10,5,4,,,,,,,,,,,,,1,13.5807426722299
2026,"01","0003301",10,"0046",1,3,"202601000330110004614","24","48",1,4,3,1,2,,1,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
2026,"01","0003301",10,"0047",1,3,"202601000330110004711","24","48",1,1,1,1,2,,1,74,1,1,28,10,1951,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,8,1,2,3,,,1,5,2,,2,,2,,2,,1,5,2,,2,,2,,2,,2,,2,,2,,3,1,,2,2,2,2,2,2,10,5,4,,,,,,,,,,,,,1,14.3827127050002
