"ANIO","MES","CONGLOMERADO","MUESTRA","SELVIV","HOGAR","ESTRATO","LLAVE_PANEL","CCDD","CODCIUDAD","AREA","C201","C203","C204","C205","C206","C207","C208","C300n","NROINF","C301_DIA","C301_MES","C301_ANIO","C303","C304","C305","C306_1","C306_2","C306_3","C306_4","C306_5","C306_6","C306_7","C306_8","C306_9","C306_10","C306_10A","C306_11","C306A","C308_COD","C309_COD","C310","C311","C312","C313","C317","C317A","C318_1","C318_2","C318_3","C318_4","C318_5","C318_6","C318_7","C318_T","C328_T","whoraT","C330","C331","C333","C334","P209H","C335","C338","C339_1","C341_T","C342","C344","C345_1","C347_T","C348","C350","C352","C353","C354","C355","C356","C357_I","C358","C359","SEGURO1","C361_1","C362_1","C361_2","C362_2","C361_3","C362_3","C361_4","C362_4","C361_5","C362_5","C361_6","C362_6","C361_7","C362_7","C361_8","C362_8","C364_1","C365_1","C364_2","C365_2","C364_3","C365_3","C364_4","C365_4","C366","C366_1","C366_2","C375_1","C375_2","C375_3","C375_4","C375_5","C375_6","C376","C377","OCUP300","D341_T","D344","D347_T","D350","D351_T","I339_1","I342","I345_1","I348","INGTOT","INGTOTP","ingtrabw","RESIDENT","FAC_T300"
2026,"01","12100",2,"0056",1,2,"202601121002005611","02","03",1,1,1,1,2,,2,72,1,1,6,9,1953,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,1,1,3,,,1,1,1,4,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,5,3,,2,2,2,2,2,2,10,6,4,,,,,,,,,,,,,1,131.258582250262
2026,"01","12100",2,"0056",1,2,"202601121002005612","02","03",1,2,3,1,2,,1,56,2,2,8,5,1969,1,,,,,,,,,,,,,,,,8322,4921,2,,3,2,1,1,0,5,5,5,5,5,5,30,,30,1,,1,2,2,2,,,,,,,,,,,,,,,,,1,5,2,,2,,2,,2,,1,5,2,,2,,2,,2,,1,5,2,,2,,11,5,,2,2,2,2,2,2,10,7,1,,,,,,,660,,,660,660,660,1,137.414733847942
2026,"01","12100",2,"0056",1,2,"202601121002005613","02","03",1,3,3,1,2,,2,45,3,3,12,8,1980,1,,,,,,,,,,,,,,,,3322,4652,3,5,1,,1,3,0,8,8,8,8,8,8,48,,48,1,,2,,2,1,4,1130,,,,,,,,,,,,,,,1,1,1,4,2,,2,,2,,2,,2,,2,,2,,2,,1,5,2,,2,,11,5,,2,2,2,2,2,2,10,7,1,,,,,244,1130,,,,1130,1130,1374,1,130.727290224192
2026,"01","12100",2,"0057",1,2,"202601121002005711","02","03",1,1,1,1,2,,1,64,1,1,16,4,1961,1,,,,,,,,,,,,,,,,8114,2410,3,5,1,,5,900,0,8,8,8,8,8,8,48,,48,1,,2,,2,2,4,3100,140,,,,,,,,,,,,,,1,1,1,1,2,,2,,2,,2,,2,,2,,2,,1,1,2,,2,,2,,6,5,,2,2,2,2,2,2,10,7,1,607,,,,3674,3100,,,,3707,3707,7381,1,168.205920427384
2026,"01","12100",2,"0057",1,2,"202601121002005712","02","03",1,2,2,1,2,,2,57,2,2,23,8,1968,1,,,,,,,,,,,,,,,,5120,5610,3,5,3,2,1,3,8,8,8,0,8,8,8,48,,48,1,,2,,2,2,2,210,80,,,,,,,,,,,,,,1,1,1,4,2,,2,,2,,2,,2,,2,,2,,2,,1,5,2,,2,,8,1,,2,2,2,2,2,2,10,5,1,347,,,,,909,,,,1256,1256,1256,1,130.727290224192
2026,"01","12100",2,"0057",1,2,"202601121002005713","02","03",1,3,3,1,2,,2,17,3,3,2,3,2008,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,2,1,3,,,1,1,1,4,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,10,1,,2,2,2,2,2,2,10,7,4,,,,,,,,,,,,,1,212.089960890711
2026,"01","12100",2,"0057",1,2,"202601121002005714","02","03",1,4,3,1,2,,1,31,4,4,29,12,1994,1,,,,,,,,,,,,,,,,7212,2511,3,5,1,,4,150,10,10,10,10,10,10,10,70,,70,1,,1,2,2,2,4,3500,820,,,,,,,,,,,,,,1,1,1,1,2,,2,,2,,2,,2,,2,,2,,1,1,2,,2,,2,,6,5,,2,2,2,2,2,2,10,7,1,1320,,,,,3500,,,,4820,4820,4820,1,299.418923805352
2026,"01","12100",2,"0057",1,2,"202601121002005715","02","03",1,5,4,1,2,,2,32,5,5,30,8,1993,1,,,,,,,,,,,,,,,,9412,5610,3,5,3,2,1,10,0,9,9,9,9,9,0,45,,45,1,,2,,2,2,2,200,55,,,,,,,,,,,,,,1,5,2,,2,,2,,2,,1,5,2,,2,,2,,2,,1,5,2,,2,,5,3,,2,2,2,2,2,2,10,7,1,238,,,,,866,,,,1104,1104,1104,1,265.636245685125
2026,"01","12100",2,"0057",1,2,"202601121002005716","02","03",1,6,5,1,2,,2,15,6,6,27,7,2010,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,1,1,3,,,1,5,2,,2,,2,,2,,1,5,2,,2,,2,,2,,2,,2,,2,,5,3,,2,2,2,2,2,2,10,7,4,,,,,,,,,,,,,1,210.481887195696
2026,"01","12100",2,"0057",1,2,"202601121002005717","02","03",1,7,5,1,2,,2,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
