"ANIO","MES","CONGLOMERADO","MUESTRA","SELVIV","HOGAR","ESTRATO","LLAVE_PANEL","CCDD","CODCIUDAD","AREA","C201","C203","C204","C205","C206","C207","C208","C300n","NROINF","C301_DIA","C301_MES","C301_ANIO","C303","C304","C305","C306_1","C306_2","C306_3","C306_4","C306_5","C306_6","C306_7","C306_8","C306_9","C306_10","C306_10A","C306_11","C306A","C308_COD","C309_COD","C310","C311","C312","C313","C317","C317A","C318_1","C318_2","C318_3","C318_4","C318_5","C318_6","C318_7","C318_T","C328_T","whoraT","C330","C331","C333","C334","P209H","C335","C338","C339_1","C341_T","C342","C344","C345_1","C347_T","C348","C350","C352","C353","C354","C355","C356","C357_I","C358","C359","SEGURO1","C361_1","C362_1","C361_2","C362_2","C361_3","C362_3","C361_4","C362_4","C361_5","C362_5","C361_6","C362_6","C361_7","C362_7","C361_8","C362_8","C364_1","C365_1","C364_2","C365_2","C364_3","C365_3","C364_4","C365_4","C366","C366_1","C366_2","C375_1","C375_2","C375_3","C375_4","C375_5","C375_6","C376","C377","OCUP300","D341_T","D344","D347_T","D350","D351_T","I339_1","I342","I345_1","I348","INGTOT","INGTOTP","ingtrabw","RESIDENT","FAC_T300"
2026,"01","35114",5,"0058",1,2,"202410351145005816","05","09",1,1,1,1,2,,1,28,1,1,2,2,1998,1,,,,,,,,,,,,,,,,9211,127,9,,3,2,1,2,0,0,0,6,6,0,0,12,,,1,,1,1,,,,,,,,,,,,2,5,1,1,6,,,1,5,2,,2,,2,,2,,1,5,2,,2,,2,,2,,2,,2,,2,,10,2,,2,2,2,2,2,2,10,9,4,,,,,,,,,,,,,1,91.8162952790816
2026,"01","35114",5,"0059",1,2,"202410351145005911","05","09",1,1,1,1,2,,1,52,1,1,9,7,1973,1,,,,,,,,,,,,,,,,3314,4100,1,,3,2,1,4,0,8,8,8,8,8,6,46,,46,1,,2,,2,2,,,,,,,,,,,,,,,,,1,5,2,,2,,2,,2,,1,5,2,,2,,2,,2,,2,,2,,2,,11,5,,2,2,2,2,2,2,1,1,1,,,,,,,5200,,,5200,5200,5200,1,52.4786466484184
2026,"01","35114",5,"0059",1,2,"202410351145005912","05","09",1,2,2,1,2,,2,43,2,2,15,2,1982,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,1,1,6,,,1,5,2,,2,,2,,2,,1,5,2,,2,,2,,2,,2,,2,,2,,3,,4,2,2,2,2,2,2,1,1,4,,,,,,,,,,,,,1,115.649651208598
2026,"01","35114",5,"0059",1,2,"202410351145005913","05","09",1,3,3,1,2,,2,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
2026,"01","35114",5,"0059",1,2,"202410351145005914","05","09",1,4,3,1,2,,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
2026,"01","35114",5,"0060",1,2,"202510351145006012","05","09",1,1,1,1,2,,1,27,1,1,10,4,1998,1,,,,,,,,,,,,,,,,9622,9412,3,5,1,,1,7,4,8,8,8,8,8,4,48,30,78,1,,2,,2,2,4,1130,,,,1130,,,,,,,,,,,1,5,2,,2,,2,,2,,1,5,2,,2,,2,,2,,2,,2,,2,,10,5,,2,2,2,2,2,2,1,1,1,,,,,,1130,,1130,,2260,1130,2260,1,91.8162952790816
2026,"01","35114",5,"0060",1,2,"202410351145006011","05","09",1,2,7,1,2,,1,30,2,2,5,6,1995,1,,,,,,,,,,,,,,,,3112,8411,3,2,,,5,9998,0,8,8,8,8,8,5,45,,45,1,,2,,2,2,4,3300,,,,,,,,,,,,,,,1,1,1,1,2,,2,,2,,2,,2,,2,,2,,2,,1,1,2,,2,,11,5,,2,2,2,2,2,2,10,1,1,,,,,,3300,,,,3300,3300,3300,1,91.8162952790816
2026,"01","35114",5,"0060",1,2,"202510351145006013","05","09",1,3,7,1,2,,1,20,3,3,19,5,2005,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,,9622,8010,9,,1,,1,7,0,0,0,0,0,0,5,5,,,1,,2,,,,,,,,,,,,,2,5,2,2,6,,,1,5,2,,2,,2,,2,,1,5,2,,2,,2,,2,,2,,2,,2,,6,5,,2,2,2,2,2,2,1,7,4,,,,,,,,,,,,,1,98.7294261960709
2026,"01","35114",5,"0062",1,2,"202510351145006211","05","09",1,1,1,1,2,,1,34,1,1,29,7,1991,1,,,,,,,,,,,,,,,,8321,4922,2,,3,2,1,1,0,6,6,6,6,6,7,37,18,55,1,,2,,2,2,,,,,,,,,,,,,,,,,1,5,2,,2,,2,,2,,1,5,2,,2,,2,,2,,2,,2,,2,,10,3,,2,2,2,2,2,2,10,1,1,,,,,,,1380,,,1380,1380,1380,1,91.8162952790816
2026,"01","35114",5,"0062",1,2,"202510351145006212","05","09",1,2,2,1,2,,2,23,2,2,2,10,2002,1,,,,,,,,,,,,,,,,9411,5610,2,,3,2,1,2,0,8,8,8,8,8,8,48,,48,1,,2,,2,2,,,,,,,,,,,,,,,,,1,5,2,,2,,2,,2,,1,5,2,,2,,2,,2,,2,,2,,2,,6,5,,2,2,2,2,2,2,1,1,1,,240,,,,,1034,,,1274,1274,1274,1,85.8101714776201
