"ANIO","MES","CONGLOMERADO","MUESTRA","SELVIV","HOGAR","ESTRATO","LLAVE_PANEL","CCDD","CODCIUDAD","AREA","C201","C203","C204","C205","C206","C207","C208","C300n","NROINF","C301_DIA","C301_MES","C301_ANIO","C303","C304","C305","C306_1","C306_2","C306_3","C306_4","C306_5","C306_6","C306_7","C306_8","C306_9","C306_10","C306_10A","C306_11","C306A","C308_COD","C309_COD","C310","C311","C312","C313","C317","C317A","C318_1","C318_2","C318_3","C318_4","C318_5","C318_6","C318_7","C318_T","C328_T","whoraT","C330","C331","C333","C334","P209H","C335","C338","C339_1","C341_T","C342","C344","C345_1","C347_T","C348","C350","C352","C353","C354","C355","C356","C357_I","C358","C359","SEGURO1","C361_1","C362_1","C361_2","C362_2","C361_3","C362_3","C361_4","C362_4","C361_5","C362_5","C361_6","C362_6","C361_7","C362_7","C361_8","C362_8","C364_1","C365_1","C364_2","C365_2","C364_3","C365_3","C364_4","C365_4","C366","C366_1","C366_2","C375_1","C375_2","C375_3","C375_4","C375_5","C375_6","C376","C377","OCUP300","D341_T","D344","D347_T","D350","D351_T","I339_1","I342","I345_1","I348","INGTOT","INGTOTP","ingtrabw","RESIDENT","FAC_T300"
2026,"01","05866",6,"0148",1,2,"202510058666014811","06","10",1,1,1,1,2,,1,35,1,1,7,3,1990,1,,,,,,,,,,,,,,,,4321,4649,3,5,1,,4,150,0,8,8,8,8,8,8,48,,48,1,,2,,2,2,4,1120,,,,,,,,,,,,,,,1,1,1,1,2,,2,,2,,2,,2,,2,,2,,1,1,2,,2,,2,,10,4,,2,2,2,2,2,2,10,5,1,,,,,234,1120,,,,1120,1120,1354,1,182.590881333132
2026,"01","05866",6,"0148",1,2,"202510058666014812","06","10",1,2,2,1,2,,2,29,2,2,12,10,1996,1,,,,,,,,,,,,,,,,4120,8541,3,5,2,2,1,5,0,7,7,7,7,7,7,42,,42,1,,2,,2,2,4,650,,,,,,,,,,,,,,,1,1,1,4,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,11,5,,2,2,2,2,2,2,10,7,1,,,,,,650,,,,650,650,650,1,151.79441446848
2026,"01","05866",6,"0148",1,2,"202510058666014813","06","10",1,3,3,1,2,,1,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
2026,"01","05866",6,"0149",1,2,"202510058666014911","06","10",1,1,1,1,2,,1,59,1,1,9,3,1966,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,1,1,13,5,2,1,5,2,,2,,2,,2,,1,5,2,,2,,2,,2,,2,,2,,2,,3,4,,2,2,2,2,2,2,10,8,2,,,,,,,,,,,,,1,200.795657782931
2026,"01","05866",6,"0149",1,2,"202510058666014912","06","10",1,2,2,1,2,,2,60,2,2,8,12,1965,1,,,,,,,,,,,,,,,,6121,141,2,,3,2,1,2,4,5,4,3,5,3,3,27,,35,2,35,2,,2,2,,,,,,,,,,2,8,2,2,11,,,1,5,2,,2,,2,,2,,1,5,2,,2,,2,,2,,2,,2,,2,,1,,,2,2,2,2,2,2,10,8,1,,40,,,,,831,,,871,871,871,1,139.06589011655
2026,"01","05866",6,"0149",1,2,"202510058666014913","06","10",1,3,3,1,2,,1,16,3,3,22,1,2010,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,2,2,5,,,1,5,2,,2,,2,,2,,1,5,2,,2,,2,,2,,2,,2,,2,,5,3,,2,2,2,2,2,2,10,8,4,,,,,,,,,,,,,1,198.518151404059
2026,"01","05866",6,"0154",1,2,"202510058666015411","06","10",1,1,1,1,2,,2,67,1,1,30,10,1958,1,,,,,,,,,,,,,,,,9411,5610,2,,3,2,1,1,0,0,7,0,7,0,7,21,,21,1,,2,,2,2,,,,,,,,,,,,,,,,,1,5,2,,2,,2,,2,,1,5,2,,2,,2,,2,,2,,2,,2,,5,1,,2,2,2,2,2,2,10,8,1,,150,,,,,850,,,1000,1000,1000,1,105.186963025697
2026,"01","05866",6,"0154",1,2,"202510058666015412","06","10",1,2,6,1,2,,2,84,2,2,26,12,1941,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,2,2,3,,,1,5,2,,2,,2,,2,,1,5,2,,2,,2,,2,,2,,2,,2,,1,,,2,2,2,2,2,2,10,8,4,,,,,,,,,,,,,1,139.06589011655
2026,"01","05866",6,"0155",1,2,"202510058666015511","06","10",1,1,1,1,2,,1,68,1,1,14,2,1957,1,,,,,,,,,,,,,,,,9211,119,3,5,3,2,1,5,0,8,0,8,0,8,0,24,,24,1,,2,,2,2,2,180,10,,,,,,,,,,,,,,1,1,1,3,2,,2,,2,,2,,2,,2,,2,,1,3,2,,2,,2,,6,5,,2,2,2,2,2,2,10,8,1,43,,,,,779,,,,822,822,822,1,150.113214260374
2026,"01","05866",6,"0155",1,2,"202510058666015512","06","10",1,2,2,1,2,,2,66,2,2,3,3,1959,1,,,,,,,,,,,,,,,,9211,141,3,5,3,2,1,2,0,2,0,2,0,0,2,6,,6,1,,2,,2,2,2,180,,,,,,,,,,,,,,,1,1,1,4,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,4,5,,2,2,2,2,2,2,10,8,1,,,,,,779,,,,779,779,779,1,139.06589011655
