"ANIO","MES","CONGLOMERADO","MUESTRA","SELVIV","HOGAR","ESTRATO","LLAVE_PANEL","CCDD","CODCIUDAD","AREA","C201","C203","C204","C205","C206","C207","C208","C300n","NROINF","C301_DIA","C301_MES","C301_ANIO","C303","C304","C305","C306_1","C306_2","C306_3","C306_4","C306_5","C306_6","C306_7","C306_8","C306_9","C306_10","C306_10A","C306_11","C306A","C308_COD","C309_COD","C310","C311","C312","C313","C317","C317A","C318_1","C318_2","C318_3","C318_4","C318_5","C318_6","C318_7","C318_T","C328_T","whoraT","C330","C331","C333","C334","P209H","C335","C338","C339_1","C341_T","C342","C344","C345_1","C347_T","C348","C350","C352","C353","C354","C355","C356","C357_I","C358","C359","SEGURO1","C361_1","C362_1","C361_2","C362_2","C361_3","C362_3","C361_4","C362_4","C361_5","C362_5","C361_6","C362_6","C361_7","C362_7","C361_8","C362_8","C364_1","C365_1","C364_2","C365_2","C364_3","C365_3","C364_4","C365_4","C366","C366_1","C366_2","C375_1","C375_2","C375_3","C375_4","C375_5","C375_6","C376","C377","OCUP300","D341_T","D344","D347_T","D350","D351_T","I339_1","I342","I345_1","I348","INGTOT","INGTOTP","ingtrabw","RESIDENT","FAC_T300"
2026,"01","3413801",3,"0032",1,2,"20260134138013003211","11","17",1,1,1,1,2,,2,64,1,1,6,6,1961,1,,,,,,,,,,,,,,,,9411,5610,2,,3,2,1,1,8,8,0,8,8,8,8,48,,48,1,,2,,2,2,,,,,,,,,,,,,,,,,1,5,2,,2,,2,,2,,1,5,2,,2,,2,,2,,2,,2,,2,,6,5,,2,2,2,2,2,2,10,5,1,,43,,,,,1460,,,1503,1503,1503,1,119.831011023832
2026,"01","3413801",3,"0033",1,2,"20260134138013003311","11","17",1,1,1,1,2,,1,59,1,1,1,1,1967,1,,,,,,,,,,,,,,,,9313,4100,3,5,3,2,1,4,0,8,8,8,8,8,8,48,,48,1,,2,,2,2,2,700,60,,,,,,,,,,,,,,1,5,2,,2,,2,,2,,1,5,2,,2,,2,,1,5,2,,2,,2,,6,5,,2,2,2,2,2,2,10,5,1,260,,,,,3031,,,,3291,3291,3291,1,169.941800055269
2026,"01","3413801",3,"0033",1,2,"20260134138013003312","11","17",1,2,2,1,2,,2,66,2,2,5,6,1959,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,7,1,2,7,,,1,5,2,,2,,2,,2,,1,5,2,,2,,2,,1,5,2,,2,,2,,6,5,,2,2,2,2,2,2,10,5,4,,,,,,,,,,,,,1,119.831011023832
2026,"01","3413801",3,"0033",1,2,"20260134138013003313","11","17",1,3,3,1,2,,2,32,3,3,3,12,1993,1,,,,,,,,,,,,,,,,5212,4752,3,5,1,,1,4,0,10,10,10,10,10,10,60,,60,1,,2,,2,2,3,900,,,,,,,,,,,,,,,1,1,1,1,2,,2,,2,,2,,2,,2,,2,,1,1,2,,2,,2,,11,5,,2,2,2,2,2,2,10,5,1,,,,,,1800,,,,1800,1800,1800,1,173.850234501817
2026,"01","3413801",3,"0033",1,2,"20260134138013003314","11","17",1,4,3,1,2,,2,23,4,4,20,11,2002,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,2,2,5,,,1,5,2,,2,,2,,2,,1,5,2,,2,,2,,2,,2,,2,,2,,8,2,,2,2,2,2,2,2,10,7,4,,,,,,,,,,,,,1,167.498693323059
2026,"01","3413801",3,"0034",1,2,"20260134138013003411","11","17",1,1,1,1,2,,1,51,1,1,10,9,1974,1,,,,,,,,,,,,,,,,5212,4773,1,,3,2,1,2,0,8,8,8,8,8,8,48,,48,1,,1,1,1,2,,,,,,,,,,,,,,,,,1,1,1,2,2,,2,,2,,2,,2,,2,,2,,2,,1,2,2,,2,,9,3,,2,2,2,2,2,2,10,7,1,,,,,,,7000,,,7000,7000,7000,1,140.319312887773
2026,"01","3413801",3,"0034",1,2,"20260134138013003412","11","17",1,2,8,1,2,,1,26,2,2,18,3,1999,1,,,,,,,,,,,,,,,,5212,4722,2,,3,2,1,1,12,12,12,12,12,10,0,70,35,105,1,,2,,2,2,,,,,,,,3000,,,,,,,,,2,5,2,,2,,2,,2,,1,5,2,,2,,2,,2,,2,,2,,2,,6,5,,2,2,2,2,2,2,10,7,1,,,,,,,4800,,3000,7800,4800,7800,1,202.864229797896
2026,"01","3413801",3,"0034",1,2,"20260134138013003413","11","17",1,3,8,1,2,,2,15,3,3,18,3,2010,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,2,2,5,,,2,5,2,,2,,2,,2,,1,5,2,,2,,2,,2,,2,,2,,2,,5,4,,2,2,2,2,2,2,10,7,4,,,,,,,,,,,,,1,221.341586439697
2026,"01","3413801",3,"0035",1,2,"20260134138013003511","11","17",1,1,1,1,2,,1,37,1,1,3,7,1988,1,,,,,,,,,,,,,,,,3123,4100,3,5,1,,5,998,0,0,0,0,12,12,12,36,,82,2,82,2,,2,2,4,2500,920,,,,,,,,,,,,,,1,1,1,1,2,,2,,2,,2,,2,,2,,2,,1,1,2,,2,,2,,11,5,,2,2,2,2,2,2,10,7,1,1220,,,,1250,2500,,,,3720,3720,4970,1,209.619431859397
2026,"01","3413801",3,"0035",1,2,"20260134138013003512","11","17",1,2,2,1,2,,2,35,2,2,29,1,1991,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,2,2,6,,,1,5,2,,2,,2,,2,,1,5,2,,2,,2,,1,5,2,,2,,2,,11,5,,2,2,2,2,2,2,10,7,4,,,,,,,,,,,,,1,173.850234501817
