"ANIO","MES","CONGLOMERADO","MUESTRA","SELVIV","HOGAR","ESTRATO","LLAVE_PANEL","CCDD","CODCIUDAD","AREA","C201","C203","C204","C205","C206","C207","C208","C300n","NROINF","C301_DIA","C301_MES","C301_ANIO","C303","C304","C305","C306_1","C306_2","C306_3","C306_4","C306_5","C306_6","C306_7","C306_8","C306_9","C306_10","C306_10A","C306_11","C306A","C308_COD","C309_COD","C310","C311","C312","C313","C317","C317A","C318_1","C318_2","C318_3","C318_4","C318_5","C318_6","C318_7","C318_T","C328_T","whoraT","C330","C331","C333","C334","P209H","C335","C338","C339_1","C341_T","C342","C344","C345_1","C347_T","C348","C350","C352","C353","C354","C355","C356","C357_I","C358","C359","SEGURO1","C361_1","C362_1","C361_2","C362_2","C361_3","C362_3","C361_4","C362_4","C361_5","C362_5","C361_6","C362_6","C361_7","C362_7","C361_8","C362_8","C364_1","C365_1","C364_2","C365_2","C364_3","C365_3","C364_4","C365_4","C366","C366_1","C366_2","C375_1","C375_2","C375_3","C375_4","C375_5","C375_6","C376","C377","OCUP300","D341_T","D344","D347_T","D350","D351_T","I339_1","I342","I345_1","I348","INGTOT","INGTOTP","ingtrabw","RESIDENT","FAC_T300"
2026,"01","1012701",1,"0010",1,1,"20251010127011001011","13","24",1,1,1,1,2,,1,54,1,1,24,9,1971,1,,,,,,,,,,,,,,,,6111,113,2,,3,2,1,1,6,6,6,6,6,6,6,42,,42,1,,2,,2,2,,,,,,,,,,,,,,,,,1,5,2,,2,,2,,2,,1,2,2,,2,,2,,2,,2,,2,,2,,4,,6,2,2,2,2,2,2,10,7,1,,74,,,,,249,,,323,323,323,1,199.32460597796
2026,"01","1012701",1,"0010",1,1,"20251010127011001012","13","24",1,2,2,1,2,,2,59,2,2,22,1,1967,1,,,,,,,,,,,,,,,,9111,9700,6,,,,1,1,0,7,7,7,7,7,0,35,,35,1,,2,,2,2,2,800,90,,,,,,,,,,,,,,1,5,2,,2,,2,,2,,1,5,2,,2,,2,,2,,2,,2,,2,,11,5,,2,2,2,2,2,2,10,7,1,390,,,,,3464,,,,3854,3854,3854,1,119.204283449421
2026,"01","1012701",1,"0010",1,1,"20251010127011001013","13","24",1,3,3,1,2,,2,18,3,3,26,9,2007,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,2,2,6,,,1,5,2,,2,,2,,2,,1,5,2,,2,,2,,2,,2,,2,,2,,6,5,,2,2,2,2,2,2,10,6,4,,,,,,,,,,,,,1,238.432301994889
2026,"01","1012701",1,"0011",1,1,"20251010127011001111","13","24",1,1,1,1,2,,1,46,1,1,26,10,1979,1,,,,,,,,,,,,,,,,9313,4100,3,5,3,2,1,3,0,5,5,5,5,5,5,30,,30,1,,2,,2,2,2,300,,,,,,,,,,,,,,,1,1,1,3,2,,2,,2,,2,,2,,2,,2,,1,3,2,,2,,2,,4,,6,2,2,2,2,2,2,10,5,1,,,,,,1299,,,,1299,1299,1299,1,199.32460597796
2026,"01","1012701",1,"0011",1,1,"20251010127011001112","13","24",1,2,2,1,2,,2,46,2,2,23,9,1979,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,2,2,6,,,1,1,1,4,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,5,1,,2,2,2,2,2,2,10,7,4,,,,,,,,,,,,,1,136.407865471535
2026,"01","1012701",1,"0011",1,1,"20251010127011001113","13","24",1,3,3,1,2,,2,24,3,3,24,6,2001,1,,,,,,,,,,,,,,,,4417,4773,3,5,1,,2,21,0,8,8,8,8,8,8,48,,48,1,,2,,2,2,4,1200,,,,,,,,,,,,,,,1,1,1,1,2,,2,,2,,2,,2,,2,,2,,1,1,2,,2,,2,,11,5,,2,2,2,2,2,2,10,7,1,,,,,300,1200,,,,1200,1200,1500,1,204.713998511358
2026,"01","1012701",1,"0011",1,1,"20251010127011001114","13","24",1,4,3,1,2,,1,20,4,4,31,8,2005,1,,,,,,,,,,,,,,,,5212,4773,3,5,2,1,1,5,5,5,5,5,0,5,5,30,,30,1,,2,,2,2,4,600,,,,,,,,,,,,,,,2,5,2,,2,,2,,2,,1,5,2,,2,,2,,2,,2,,2,,2,,6,5,,2,2,2,2,2,2,10,8,1,,,,,,600,,,,600,600,600,1,264.505629685358
2026,"01","1012701",1,"0011",1,1,"20251010127011001115","13","24",1,5,3,1,2,,2,18,5,5,10,8,2007,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,2,2,5,,,2,6,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,6,5,,2,2,2,2,2,2,10,7,4,,,,,,,,,,,,,1,238.432301994889
2026,"01","1012701",1,"0011",1,1,"20251010127011001116","13","24",1,6,3,1,2,,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
2026,"01","1012701",1,"0012",1,1,"20251010127011001211","13","24",1,1,1,1,2,,1,39,1,1,12,8,1986,1,,,,,,,,,,,,,,,,8322,4922,2,,3,2,1,1,0,9,9,9,9,9,9,54,,54,1,,2,,2,2,,,,,,,,,,,,,,,,,1,5,2,,2,,2,,2,,1,5,2,,2,,2,,2,,2,,2,,2,,4,,6,2,2,2,2,2,2,10,5,1,,,,,,,2150,,,2150,2150,2150,1,270.001469139574
