"ANIO","MES","CONGLOMERADO","MUESTRA","SELVIV","HOGAR","ESTRATO","LLAVE_PANEL","CCDD","CODCIUDAD","AREA","C201","C203","C204","C205","C206","C207","C208","C300n","NROINF","C301_DIA","C301_MES","C301_ANIO","C303","C304","C305","C306_1","C306_2","C306_3","C306_4","C306_5","C306_6","C306_7","C306_8","C306_9","C306_10","C306_10A","C306_11","C306A","C308_COD","C309_COD","C310","C311","C312","C313","C317","C317A","C318_1","C318_2","C318_3","C318_4","C318_5","C318_6","C318_7","C318_T","C328_T","whoraT","C330","C331","C333","C334","P209H","C335","C338","C339_1","C341_T","C342","C344","C345_1","C347_T","C348","C350","C352","C353","C354","C355","C356","C357_I","C358","C359","SEGURO1","C361_1","C362_1","C361_2","C362_2","C361_3","C362_3","C361_4","C362_4","C361_5","C362_5","C361_6","C362_6","C361_7","C362_7","C361_8","C362_8","C364_1","C365_1","C364_2","C365_2","C364_3","C365_3","C364_4","C365_4","C366","C366_1","C366_2","C375_1","C375_2","C375_3","C375_4","C375_5","C375_6","C376","C377","OCUP300","D341_T","D344","D347_T","D350","D351_T","I339_1","I342","I345_1","I348","INGTOT","INGTOTP","ingtrabw","RESIDENT","FAC_T300"
2026,"01","03296",3,"0108",1,1,"202601032963010811","14","25",1,1,1,1,2,,1,33,1,1,3,2,1993,1,,,,,,,,,,,,,,,,5212,4772,2,,1,,1,1,0,5,5,5,5,5,5,30,30,60,1,,2,,2,2,,,,,,,,,,,,,,,,,2,2,2,,1,2,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,6,5,,2,2,2,2,2,2,10,7,1,,,,,,,1612,,700,2312,1612,2312,1,368.285488574754
2026,"01","03296",3,"0108",1,1,"202601032963010812","14","25",1,2,2,1,2,,2,28,2,2,20,8,1997,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,,9111,9700,6,,,,1,1,5,0,0,0,0,0,0,5,,5,1,,1,1,1,2,4,348,,,,,,,,,,,,,,,1,5,2,,2,,2,,2,,1,5,2,,2,,2,,2,,2,,2,,2,,6,5,,2,2,2,2,2,2,10,7,1,,,,,,348,,,,348,348,348,1,337.37399447833
2026,"01","03296",3,"0108",1,1,"202601032963010813","14","25",1,3,3,1,2,,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
2026,"01","03296",3,"0108",1,1,"202601032963010814","14","25",1,4,3,1,2,,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
2026,"01","03296",3,"0109",1,1,"202601032963010911","14","25",1,1,1,1,2,,2,71,1,1,10,7,1954,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,,9111,9700,6,,,,1,1,0,5,5,5,5,5,0,25,3,28,1,,2,,2,2,4,100,13,,,,,20,,,,,,,,,1,5,2,,2,,2,,2,,1,5,2,,2,,2,,2,,2,,2,,2,,8,1,,2,2,2,2,2,2,10,1,1,390,,,,25,100,,,20,510,490,535,1,141.914572425128
2026,"01","03296",3,"0110",1,1,"202601032963011011","14","25",1,1,1,1,2,,2,56,1,1,1,12,1969,1,,,,,,,,,,,,,,,,5212,4772,2,,3,2,1,1,0,0,2,0,0,0,0,2,,2,1,,1,1,1,2,,,,,,,,,,,,,,,,,1,1,1,4,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,6,5,,2,2,2,2,2,2,10,6,1,,170,,,,,180,,,350,350,350,1,168.508953947403
2026,"01","03296",3,"0110",1,1,"202601032963011012","14","25",1,2,3,1,2,,1,18,2,2,25,3,2007,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,8,1,1,4,,,2,1,1,4,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,10,2,,2,2,2,2,2,2,10,6,3,,,,,,,,,,,,,1,192.989160545776
2026,"01","03296",3,"0110",1,1,"202601032963011013","14","25",1,3,3,1,2,,1,16,3,3,21,9,2009,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,8,2,2,3,,,2,1,1,4,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,5,4,,2,2,2,2,2,2,10,7,4,,,,,,,,,,,,,1,251.309337656952
2026,"01","03296",3,"0111",1,1,"202601032963011111","14","25",1,1,1,1,2,,2,43,1,1,13,10,1982,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,2,2,11,,,1,5,2,,2,,2,,2,,1,5,2,,2,,2,,2,,2,,2,,2,,6,5,,2,2,2,2,2,2,10,5,4,,,,,,,,,,,,,1,337.37399447833
2026,"01","03296",3,"0111",1,1,"202601032963011112","14","25",1,2,3,1,2,,1,20,2,2,25,7,2005,1,,,,,,,,,,,,,,,,9621,5320,3,5,1,,3,70,11,11,11,11,11,11,11,77,,77,1,,1,1,1,2,4,1800,,,,,,,,,,,,,,,1,5,2,,2,,2,,2,,1,5,2,,2,,2,,2,,2,,2,,2,,8,2,,2,2,2,2,2,2,10,7,1,,,,,,1800,,,,1800,1800,1800,1,192.989160545776
