"ANIO","MES","CONGLOMERADO","MUESTRA","SELVIV","HOGAR","ESTRATO","LLAVE_PANEL","CCDD","CODCIUDAD","AREA","C201","C203","C204","C205","C206","C207","C208","C300n","NROINF","C301_DIA","C301_MES","C301_ANIO","C303","C304","C305","C306_1","C306_2","C306_3","C306_4","C306_5","C306_6","C306_7","C306_8","C306_9","C306_10","C306_10A","C306_11","C306A","C308_COD","C309_COD","C310","C311","C312","C313","C317","C317A","C318_1","C318_2","C318_3","C318_4","C318_5","C318_6","C318_7","C318_T","C328_T","whoraT","C330","C331","C333","C334","P209H","C335","C338","C339_1","C341_T","C342","C344","C345_1","C347_T","C348","C350","C352","C353","C354","C355","C356","C357_I","C358","C359","SEGURO1","C361_1","C362_1","C361_2","C362_2","C361_3","C362_3","C361_4","C362_4","C361_5","C362_5","C361_6","C362_6","C361_7","C362_7","C361_8","C362_8","C364_1","C365_1","C364_2","C365_2","C364_3","C365_3","C364_4","C365_4","C366","C366_1","C366_2","C375_1","C375_2","C375_3","C375_4","C375_5","C375_6","C376","C377","OCUP300","D341_T","D344","D347_T","D350","D351_T","I339_1","I342","I345_1","I348","INGTOT","INGTOTP","ingtrabw","RESIDENT","FAC_T300"
2026,"01","39960",2,"0008",1,2,"202501399602000811","21","44",1,1,1,1,2,,2,34,1,1,23,5,1991,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,7,2,2,7,,,1,5,2,,2,,2,,2,,1,5,2,,2,,2,,1,5,2,,2,,2,,9,3,,2,2,2,2,2,2,10,1,4,,,,,,,,,,,,,1,101.280013083945
2026,"01","39960",2,"0008",1,2,"202501399602000812","21","44",1,2,3,1,1,,1,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
2026,"01","39960",2,"0009",1,2,"202501399602000911","21","44",1,1,1,1,2,,1,37,1,1,5,7,1988,1,,,,,,,,,,,,,,,,7352,1410,2,,2,2,1,2,8,9,7,8,6,9,9,56,,56,1,,2,,2,2,,,,,,,,,,,,,,,,,1,5,2,,2,,2,,2,,1,5,2,,2,,2,,2,,2,,2,,2,,11,5,,2,2,2,2,2,2,10,1,1,,,,,,,982,,,982,982,982,1,137.450931245414
2026,"01","39960",2,"0012",1,2,"202501399602001211","21","44",1,1,1,1,2,,1,51,1,1,29,1,1974,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,7,2,2,7,,,1,5,2,,2,,2,,2,,1,5,2,,2,,2,,2,,2,,2,,2,,6,5,,2,2,2,2,2,2,1,1,4,,,,,,,,,,,,,1,134.083466680903
2026,"01","39960",2,"0012",1,2,"202501399602001212","21","44",1,2,2,1,2,,2,46,2,2,24,12,1979,1,,,,,,,,,,,,,,,,7354,1430,3,5,3,2,1,2,0,1,0,2,0,0,1,4,,4,1,,2,,2,2,2,100,,,,,,,,,,,,,,,1,5,2,,2,,2,,2,,1,5,2,,2,,2,,2,,2,,2,,2,,4,,6,2,2,2,2,2,2,1,1,1,,,,,,433,,,,433,433,433,1,105.279760936709
2026,"01","39960",2,"0012",1,2,"202501399602001213","21","44",1,3,3,1,2,,1,20,3,3,5,8,2005,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,2,2,5,,,1,5,2,,2,,2,,2,,1,5,2,,2,,2,,2,,2,,2,,2,,6,5,,2,2,2,2,2,2,10,7,4,,,,,,,,,,,,,1,188.71724391455
2026,"01","39960",2,"0012",1,2,"202501399602001214","21","44",1,4,3,1,2,,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
2026,"01","39960",2,"0014",1,2,"202501399602001411","21","44",1,1,1,1,2,,2,63,1,1,15,6,1962,1,,,,,,,,,,,,,,,,5213,4782,2,,3,2,1,1,0,7,7,8,8,8,7,45,,45,1,,2,,2,2,,,,,,,,,,,,,,,,,1,5,2,,2,,2,,2,,1,5,2,,2,,2,,2,,2,,2,,2,,3,3,,2,2,2,2,2,2,1,1,1,,,,,,,846,,,846,846,846,1,105.279760936709
2026,"01","39981",2,"0013",1,2,"202510399812001312","21","44",1,1,1,1,2,,1,44,1,1,19,5,1981,1,,,,,,,,,,,,,,,,8322,4922,2,,3,2,1,1,10,10,9,8,10,10,9,66,,66,1,,1,1,1,1,,,,,,,,,,,,,,,,,1,5,2,,2,,2,,2,,1,5,2,,2,,2,,2,,2,,2,,2,,6,5,,2,2,2,2,2,2,10,1,1,,,,,,,1568,,,1568,1568,1568,1,362.090793168313
2026,"01","39981",2,"0013",1,2,"202510399812001311","21","44",1,2,2,1,2,,2,43,2,2,28,6,1982,1,,,,,,,,,,,,,,,,7351,1430,2,,3,2,1,1,1,1,1,10,10,10,10,43,39,82,1,,2,,2,2,,,,,,,,,,,,,,,,,2,5,2,,2,,2,,2,,1,5,2,,2,,2,,2,,2,,2,,2,,3,,3,2,2,2,2,2,2,1,1,1,,,,,,,298,,,298,298,298,1,384.5186259073
2026,"01","39981",2,"0013",1,2,"202510399812001313","21","44",1,3,3,1,2,,1,24,3,3,9,12,2001,1,,,,,,,,,,,,,,,,8331,4921,3,5,3,2,1,3,0,10,10,10,10,10,10,60,,60,1,,2,,2,2,2,360,126,,,,,,,,,,,,,,1,5,2,,2,,2,,2,,1,5,2,,2,,2,,2,,2,,2,,2,,6,5,,2,2,2,2,2,2,10,1,1,546,,,,,1559,,,,2105,2105,2105,1,249.229958912325
2026,"01","39981",2,"0013",1,2,"202510399812001314","21","44",1,4,3,1,2,,2,21,4,4,6,6,2004,1,,,,,,,,,,,,,,,,9334,4921,3,5,3,2,1,3,0,10,10,10,10,10,10,60,,60,1,,2,,2,2,2,240,126,,,,,,,,,,,,,,1,5,2,,2,,2,,2,,1,5,2,,2,,2,,2,,2,,2,,2,,8,2,,2,2,2,2,2,2,10,1,1,546,,,,,1039,,,,1585,1585,1585,1,246.177659084943
2026,"01","39981",2,"0013",1,2,"202510399812001315","21","44",1,5,3,1,2,,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
2026,"01","39981",2,"0015",1,2,"202510399812001511","21","44",1,1,1,1,2,,1,42,1,1,6,8,1983,1,,,,,,,,,,,,,,,,7513,1071,2,,3,2,1,2,7,7,7,7,7,7,7,49,,49,1,,1,1,1,2,,,,,,,,,,,,,,,,,1,5,2,,2,,2,,2,,1,5,2,,2,,2,,2,,2,,2,,2,,10,1,,2,2,2,2,2,2,1,1,1,,61,,,,,2747,,,2808,2808,2808,1,181.524958907659
