"ANIO","MES","CONGLOMERADO","MUESTRA","SELVIV","HOGAR","ESTRATO","LLAVE_PANEL","CCDD","CODCIUDAD","AREA","C201","C203","C204","C205","C206","C207","C208","C300n","NROINF","C301_DIA","C301_MES","C301_ANIO","C303","C304","C305","C306_1","C306_2","C306_3","C306_4","C306_5","C306_6","C306_7","C306_8","C306_9","C306_10","C306_10A","C306_11","C306A","C308_COD","C309_COD","C310","C311","C312","C313","C317","C317A","C318_1","C318_2","C318_3","C318_4","C318_5","C318_6","C318_7","C318_T","C328_T","whoraT","C330","C331","C333","C334","P209H","C335","C338","C339_1","C341_T","C342","C344","C345_1","C347_T","C348","C350","C352","C353","C354","C355","C356","C357_I","C358","C359","SEGURO1","C361_1","C362_1","C361_2","C362_2","C361_3","C362_3","C361_4","C362_4","C361_5","C362_5","C361_6","C362_6","C361_7","C362_7","C361_8","C362_8","C364_1","C365_1","C364_2","C365_2","C364_3","C365_3","C364_4","C365_4","C366","C366_1","C366_2","C375_1","C375_2","C375_3","C375_4","C375_5","C375_6","C376","C377","OCUP300","D341_T","D344","D347_T","D350","D351_T","I339_1","I342","I345_1","I348","INGTOT","INGTOTP","ingtrabw","RESIDENT","FAC_T300"
2026,"01","0936501",3,"0128",1,2,"20250409365013012811","22","46",1,1,1,1,2,,2,33,1,1,24,4,1992,1,,,,,,,,,,,,,,,,5212,4722,2,,3,2,1,2,0,5,1,6,7,7,0,26,,26,1,,2,,2,2,,,,,,,,,,,,,,,,,1,5,2,,2,,2,,2,,1,5,2,,2,,2,,1,5,2,,2,,2,,5,1,,2,2,2,2,2,2,10,7,1,,,,,,,161,,,161,161,161,1,200.294368337858
2026,"01","0936501",3,"0128",1,2,"20250409365013012812","22","46",1,2,3,1,2,,2,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
2026,"01","0936501",3,"0128",1,2,"20250409365013012813","22","46",1,3,3,1,2,,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
2026,"01","0936501",3,"0128",1,2,"20250409365013012814","22","46",1,4,6,1,2,,2,50,4,4,1,2,1975,1,,,,,,,,,,,,,,,,5223,4722,4,,3,2,1,2,0,1,1,1,1,1,1,6,,,1,,2,,,,,,,,,,,,,2,5,2,2,6,,,1,5,2,,2,,2,,2,,1,5,2,,2,,2,,2,,2,,2,,2,,2,1,,2,2,2,2,2,2,10,6,4,,,,,,,,,,,,,1,222.535776938832
2026,"01","0936501",3,"0128",1,2,"20250409365013012815","22","46",1,5,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,
2026,"01","0936501",3,"0129",1,2,"20250109365013012911","22","46",1,1,1,1,2,,1,40,1,1,10,3,1985,1,,,,,,,,,,,,,,,,3115,4520,1,,2,2,1,3,0,8,9,8,8,8,8,49,,49,1,,2,,2,2,,,,,,,,,,,,,,,,,1,5,2,,2,,2,,2,,1,5,2,,2,,2,,2,,2,,2,,2,,9,3,,2,2,2,2,2,2,10,7,1,,,,,,,2697,,,2697,2697,2697,1,209.184309683696
2026,"01","0936501",3,"0129",1,2,"20250109365013012912","22","46",1,2,2,1,2,,2,32,2,2,3,9,1993,1,,,,,,,,,,,,,,,,2311,8530,3,5,1,,3,100,0,4,4,4,4,4,0,20,5,25,1,,2,,2,2,4,2100,,,,,,1000,,,,,,,,,1,1,1,1,2,,2,,2,,2,,2,,2,,2,,1,1,2,,2,,2,,12,2,,2,2,2,2,2,2,10,7,1,,,,,501,2100,,,1000,3100,2100,3601,1,184.90588433571
2026,"01","0936501",3,"0129",1,2,"20250109365013012913","22","46",1,3,3,1,2,,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
2026,"01","0936501",3,"0130",1,2,"20250109365013013011","22","46",1,1,1,1,2,,1,51,1,1,7,9,1974,1,,,,,,,,,,,,,,,,8332,4752,3,5,2,2,1,2,0,10,10,10,10,10,10,60,,60,1,,2,,2,2,2,650,,,,,,,,,,,,,,,1,5,2,,2,,2,,2,,1,5,2,,2,,2,,1,5,2,,2,,2,,4,,6,2,2,2,2,2,2,10,7,1,,,,,,2815,,,,2815,2815,2815,1,215.821072154243
2026,"01","0936501",3,"0130",1,2,"20250109365013013012","22","46",1,2,2,1,2,,2,36,2,2,16,3,1989,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,2,2,6,,,1,5,2,,2,,2,,2,,1,5,2,,2,,2,,2,,2,,2,,2,,6,5,,2,2,2,2,2,2,10,1,4,,,,,,,,,,,,,1,200.294368337858
