"ANIO","MES","CONGLOMERADO","MUESTRA","SELVIV","HOGAR","ESTRATO","LLAVE_PANEL","CCDD","CODCIUDAD","AREA","C201","C203","C204","C205","C206","C207","C208","C300n","NROINF","C301_DIA","C301_MES","C301_ANIO","C303","C304","C305","C306_1","C306_2","C306_3","C306_4","C306_5","C306_6","C306_7","C306_8","C306_9","C306_10","C306_10A","C306_11","C306A","C308_COD","C309_COD","C310","C311","C312","C313","C317","C317A","C318_1","C318_2","C318_3","C318_4","C318_5","C318_6","C318_7","C318_T","C328_T","whoraT","C330","C331","C333","C334","P209H","C335","C338","C339_1","C341_T","C342","C344","C345_1","C347_T","C348","C350","C352","C353","C354","C355","C356","C357_I","C358","C359","SEGURO1","C361_1","C362_1","C361_2","C362_2","C361_3","C362_3","C361_4","C362_4","C361_5","C362_5","C361_6","C362_6","C361_7","C362_7","C361_8","C362_8","C364_1","C365_1","C364_2","C365_2","C364_3","C365_3","C364_4","C365_4","C366","C366_1","C366_2","C375_1","C375_2","C375_3","C375_4","C375_5","C375_6","C376","C377","OCUP300","D341_T","D344","D347_T","D350","D351_T","I339_1","I342","I345_1","I348","INGTOT","INGTOTP","ingtrabw","RESIDENT","FAC_T300"
2026,"01","44244",3,"0035",1,2,"202410442443003511","23","47",1,1,1,1,2,,1,78,1,1,4,7,1947,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,7,1,2,3,,,1,5,2,,2,,2,,2,,1,5,2,,2,,2,,2,,2,,2,,2,,4,5,,2,2,2,2,2,2,2,2,4,,,,,,,,,,,,,1,202.51685691245
2026,"01","44244",3,"0036",1,2,"202410442443003611","23","47",1,1,1,1,2,,1,79,1,1,26,10,1946,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,7,2,2,7,,,1,5,2,,2,,2,,2,,1,5,2,,2,,2,,2,,2,,2,,2,,6,5,,2,2,2,2,2,2,2,2,4,,,,,,,,,,,,,1,197.035595175147
2026,"01","44244",3,"0036",1,2,"202410442443003612","23","47",1,2,2,1,2,,2,74,2,2,21,11,1951,1,,,,,,,,,,,,,,,,9535,4782,2,,3,2,1,1,7,0,0,0,9,0,9,25,,25,1,,1,1,1,2,,,,,,,,,,,,,,,,,1,5,2,,2,,2,,2,,1,5,2,,2,,2,,2,,2,,2,,2,,3,3,,2,2,2,2,2,2,2,2,1,,,,,,,336,,,336,336,336,1,211.854591540266
2026,"01","44244",3,"0037",1,2,"202410442443003711","23","47",1,1,1,1,2,,1,49,1,1,15,6,1976,1,,,,,,,,,,,,,,,,9313,4100,3,5,3,2,1,3,0,8,9,8,8,9,5,47,,47,1,,1,1,1,2,2,650,,,,,,,,,,,,,,,1,5,2,,2,,2,,2,,1,5,2,,2,,2,,2,,2,,2,,2,,4,,6,2,2,2,2,2,2,2,2,1,,,,,,2815,,,,2815,2815,2815,1,202.51685691245
2026,"01","44244",3,"0037",1,2,"202410442443003712","23","47",1,2,8,1,2,,2,29,2,2,23,11,1996,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,1,1,13,1,1,1,5,2,,2,,2,,2,,1,5,2,,2,,2,,2,,2,,2,,2,,3,,3,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,1,286.218652454983
2026,"01","44244",3,"0037",1,2,"202410442443003713","23","47",1,3,8,1,2,,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
2026,"01","44244",3,"0046",1,2,"202410442443004611","23","47",1,1,1,1,2,,2,70,1,1,24,6,1955,1,,,,,,,,,,,,,,,,9411,5610,2,,3,2,1,3,0,7,6,6,0,6,7,32,,32,1,,1,1,1,2,,,,,,,,,,,,,,,,,1,5,2,,2,,2,,2,,1,5,2,,2,,2,,2,,2,,2,,2,,6,5,,2,2,2,2,2,2,2,2,1,,87,,,,,739,,,826,826,826,1,178.529127819935
2026,"01","44244",3,"0046",1,2,"202410442443004616","23","47",1,2,2,1,1,,1,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
2026,"01","44244",3,"0046",1,2,"202410442443004612","23","47",1,3,3,1,1,,1,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
2026,"01","44244",3,"0046",1,2,"202410442443004615","23","47",1,4,3,1,2,,2,41,4,4,8,5,1984,1,,,,,,,,,,,,,,,,3221,8610,3,2,,,5,9998,0,8,8,8,8,8,0,40,,40,1,,2,,2,2,4,1766,,,,,,,,,,,,,,,1,1,1,1,2,,2,,2,,2,,2,,2,,2,,1,1,2,,2,,2,,9,3,,2,2,2,2,2,2,10,7,1,,,,,,1766,,,,1766,1766,1766,1,167.157607947056
2026,"01","44244",3,"0046",1,2,"202410442443004614","23","47",1,5,3,1,2,,2,35,5,5,23,12,1990,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,,9412,5610,4,,3,2,1,3,0,3,2,3,2,3,2,15,,15,1,,2,,2,,,,,,,,,,,,,,,,,,1,5,2,,2,,2,,2,,1,5,2,,2,,2,,2,,2,,2,,2,,10,3,,2,2,2,2,2,2,10,7,1,,,,,,,,,,0,0,0,1,167.157607947056
2026,"01","44244",3,"0046",1,2,"202410442443004613","23","47",1,6,3,1,2,,1,31,6,6,11,11,1994,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,,9412,5610,4,,3,2,1,3,0,5,6,6,7,5,6,35,,35,1,,1,1,1,,,,,,,,,,,,,,,,,,1,5,2,,2,,2,,2,,1,5,2,,2,,2,,2,,2,,2,,2,,11,5,,2,2,2,2,2,2,10,7,1,,,,,,,,,,0,0,0,1,186.3743846246
2026,"01","44254",3,"0033",1,2,"202510442543003311","23","47",1,1,1,1,1,,1,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
2026,"01","44254",3,"0033",1,2,"202510442543003312","23","47",1,2,2,1,1,,2,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
2026,"01","44254",3,"0033",1,2,"202510442543003313","23","47",1,3,3,1,2,,1,48,3,3,25,3,1977,1,,,,,,,,,,,,,,,,9211,126,3,5,2,2,1,3,0,8,9,9,9,9,0,44,,44,1,,2,,2,2,2,400,,,,,,,,,,,,,,,1,5,2,,2,,2,,2,,1,5,2,,2,,2,,2,,2,,2,,2,,12,2,,2,2,2,2,2,2,10,7,1,,,,,,1732,,,,1732,1732,1732,1,161.122381776988
2026,"01","44254",3,"0033",1,2,"202510442543003314","23","47",1,4,3,1,2,,1,31,4,4,1,1,1995,1,,,,,,,,,,,,,,,,9211,113,3,5,3,2,1,3,0,6,6,9,9,9,8,47,,47,1,,2,,2,2,2,240,,,,,,,,,,,,,,,2,5,2,,2,,2,,2,,1,5,2,,2,,2,,2,,2,,2,,2,,6,5,,2,2,2,2,2,2,10,7,1,,,,,,1039,,,,1039,1039,1039,1,329.209352750152
2026,"01","44254",3,"0034",1,2,"202510442543003411","23","47",1,1,1,1,2,,1,66,1,1,30,1,1960,1,,,,,,,,,,,,,,,,7322,3100,1,,3,2,1,2,0,9,9,8,9,8,8,51,,51,1,,2,,2,2,,,,,,,,,,,,,,,,,1,5,2,,2,,2,,2,,1,5,2,,2,,2,,2,,2,,2,,2,,4,5,,2,2,2,2,2,2,10,7,1,,,,,,,1200,,,1200,1200,1200,1,185.003834247101
2026,"01","44254",3,"0034",1,2,"202510442543003412","23","47",1,2,3,1,2,,1,31,2,2,31,5,1994,1,,,,,,,,,,,,,,,,7322,3100,3,5,3,2,1,2,0,9,9,5,9,9,8,49,,49,1,,2,,2,2,4,1000,,,,,,,,,,,,,,,2,5,2,,2,,2,,2,,1,5,2,,2,,2,,2,,2,,2,,2,,6,5,,2,2,2,2,2,2,10,7,1,,,,,,1000,,,,1000,1000,1000,1,329.209352750152
2026,"01","44254",3,"0034",1,2,"202601442543003413","23","47",1,3,8,2,,2,1,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
2026,"01","44254",3,"0036",1,2,"202510442543003611","23","47",1,1,1,1,2,,1,77,1,1,1,6,1948,1,,,,,,,,,,,,,,,,9612,3811,2,,3,2,1,1,9,5,6,9,9,9,8,55,,55,1,,2,,2,2,,,,,,,,,,,,,,,,,1,5,2,,2,,2,,2,,1,5,2,,2,,2,,2,,2,,2,,2,,5,3,,2,2,2,2,2,2,10,7,1,,,,,,,470,,,470,470,470,1,179.996574834857
