"ANIO","MES","CONGLOMERADO","MUESTRA","SELVIV","HOGAR","ESTRATO","LLAVE_PANEL","CCDD","CODCIUDAD","AREA","C201","C203","C204","C205","C206","C207","C208","C300n","NROINF","C301_DIA","C301_MES","C301_ANIO","C303","C304","C305","C306_1","C306_2","C306_3","C306_4","C306_5","C306_6","C306_7","C306_8","C306_9","C306_10","C306_10A","C306_11","C306A","C308_COD","C309_COD","C310","C311","C312","C313","C317","C317A","C318_1","C318_2","C318_3","C318_4","C318_5","C318_6","C318_7","C318_T","C328_T","whoraT","C330","C331","C333","C334","P209H","C335","C338","C339_1","C341_T","C342","C344","C345_1","C347_T","C348","C350","C352","C353","C354","C355","C356","C357_I","C358","C359","SEGURO1","C361_1","C362_1","C361_2","C362_2","C361_3","C362_3","C361_4","C362_4","C361_5","C362_5","C361_6","C362_6","C361_7","C362_7","C361_8","C362_8","C364_1","C365_1","C364_2","C365_2","C364_3","C365_3","C364_4","C365_4","C366","C366_1","C366_2","C375_1","C375_2","C375_3","C375_4","C375_5","C375_6","C376","C377","OCUP300","D341_T","D344","D347_T","D350","D351_T","I339_1","I342","I345_1","I348","INGTOT","INGTOTP","ingtrabw","RESIDENT","FAC_T300"
2026,"01","1520601",3,"0111",1,2,"20250115206013011111","25","49",1,1,1,1,2,,2,29,1,1,27,4,1996,1,,,,,,,,,,,,,,,,9512,4781,2,,3,2,1,1,7,6,6,6,6,6,6,43,,43,1,,2,,2,2,,,,,,,,,,,,,,,,,1,5,2,,2,,2,,2,,1,5,2,,2,,2,,2,,2,,2,,2,,10,2,,2,2,2,2,2,2,10,7,1,,130,,,,,1033,,,1163,1163,1163,1,153.917918498064
2026,"01","1520601",3,"0111",1,2,"20250115206013011112","25","49",1,2,3,1,2,,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
2026,"01","1520601",3,"0111",1,2,"20250115206013011113","25","49",1,3,7,1,2,,1,21,3,3,8,2,2004,1,,,,,,,,,,,,,,,,8321,4922,2,,3,2,1,1,6,0,0,0,9,9,9,33,,45,2,45,1,2,2,1,,,,,,,,,,,,,,,,,1,5,2,,2,,2,,2,,1,5,2,,2,,2,,2,,2,,2,,2,,10,4,,2,2,2,2,2,2,10,7,1,,,,,,,1162,,,1162,1162,1162,1,158.789006082739
2026,"01","1520601",3,"0112",1,2,"20250115206013011211","25","49",1,1,1,1,2,,1,37,1,1,16,3,1988,1,,,,,,,,,,,,,,,,7113,4100,3,5,3,2,1,2,0,7,7,7,7,0,0,28,,28,1,,2,,2,2,2,280,,,,,,,,,,,,,,,1,5,2,,2,,2,,2,,1,5,2,,2,,2,,2,,2,,2,,2,,10,2,,2,2,2,2,2,2,5,3,1,,,,,,1212,,,,1212,1212,1212,1,188.289509207411
2026,"01","1520601",3,"0112",1,2,"20250115206013011212","25","49",1,2,2,1,2,,2,31,2,2,28,5,1994,1,,,,,,,,,,,,,,,,5212,4773,3,5,2,1,1,4,0,8,8,8,8,8,8,48,,48,1,,2,,2,2,2,280,60,,,,,,,,,,,,,,1,5,2,,2,,2,,2,,1,5,2,,2,,2,,2,,2,,2,,2,,6,5,,2,2,2,2,2,2,5,3,1,260,,,,,1212,,,,1472,1472,1472,1,250.069943651156
2026,"01","1520601",3,"0112",1,2,"20250115206013011213","25","49",1,3,3,1,2,,1,14,3,3,1,9,2011,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,2,2,3,,,1,5,2,,2,,2,,2,,1,5,2,,2,,2,,2,,2,,2,,2,,5,2,,2,2,2,2,2,2,10,7,4,,,,,,,,,,,,,1,227.070565696179
2026,"01","1520601",3,"0112",1,2,"20250115206013011214","25","49",1,4,3,1,2,,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
2026,"01","1520601",3,"0112",1,2,"20250115206013011215","25","49",1,5,3,1,2,,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
2026,"01","1520601",3,"0113",1,2,"20250115206013011311","25","49",1,1,1,1,2,,2,55,1,1,4,4,1970,1,,,,,,,,,,,,,,,,9523,4781,2,,3,2,1,1,4,6,6,6,7,7,6,42,,42,1,,2,,2,2,,,,,,,,,,,,,,,,,1,5,2,,2,,2,,2,,1,5,2,,2,,2,,2,,2,,2,,2,,6,5,,2,2,2,2,2,2,10,7,1,,260,,,,,786,,,1046,1046,1046,1,133.038239908321
2026,"01","1520601",3,"0114",1,2,"20250115206013011411","25","49",1,1,1,1,2,,1,27,1,1,14,9,1998,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,1,1,13,5,2,1,5,2,,2,,2,,2,,1,5,2,,2,,2,,2,,2,,2,,2,,8,2,,2,2,2,2,2,2,5,3,2,,,,,,,,,,,,,1,188.289509207411
